owner_acronym,source_fiscal,total_entries,total_contracts,total_amendments
esdc,201213-Q1,223,223,0
esdc,201213-Q2,242,242,0
esdc,201213-Q3,319,319,0
esdc,201213-Q4,460,460,0
esdc,201314-Q1,226,226,0
esdc,201314-Q2,242,242,0
esdc,201314-Q3,294,294,0
esdc,201314-Q4,374,374,0
esdc,201415-Q1,206,206,0
esdc,201415-Q2,274,274,0
esdc,201415-Q3,326,326,0
esdc,201415-Q4,325,325,0
esdc,201516-Q1,264,264,0
esdc,201516-Q2,257,257,0
esdc,201516-Q3,240,240,0
esdc,201516-Q4,359,359,0
esdc,201617-Q1,279,279,0
esdc,201617-Q2,250,249,1
esdc,201617-Q3,296,295,1
esdc,201617-Q4,506,346,160
esdc,201718-Q1,279,201,78
esdc,201718-Q2,250,175,75
esdc,201718-Q3,378,217,161
esdc,201718-Q4,575,334,241
esdc,201819-Q1,360,200,160
esdc,201819-Q2,335,206,129
esdc,201819-Q3,366,175,191
fcac,200405-Q1,13,13,0
fcac,200405-Q2,5,5,0
fcac,200405-Q3,6,6,0
fcac,200405-Q4,8,7,1
fcac,200506-Q1,8,8,0
fcac,200506-Q2,4,4,0
fcac,200506-Q3,12,12,0
fcac,200506-Q4,6,6,0
fcac,200607-Q1,5,5,0
fcac,200607-Q2,4,4,0
fcac,200607-Q3,13,13,0
fcac,200607-Q4,12,12,0
fcac,200708-Q1,19,19,0
fcac,200708-Q2,12,12,0
fcac,200708-Q3,8,8,0
fcac,200708-Q4,9,9,0
fcac,200809-Q1,15,15,0
fcac,200809-Q2,10,10,0
fcac,200809-Q3,9,9,0
fcac,200809-Q4,9,8,1
fcac,200910-Q1,20,20,0
fcac,200910-Q2,21,19,2
fcac,200910-Q3,18,11,7
fcac,200910-Q4,15,12,3
fcac,201011-Q1,32,31,1
fcac,201011-Q2,22,20,2
fcac,201011-Q3,10,7,3
fcac,201011-Q4,24,19,5
fcac,201112-Q1,38,36,2
fcac,201112-Q2,17,15,2
fcac,201112-Q3,15,10,5
fcac,201112-Q4,13,11,2
fcac,201213-Q1,32,29,3
fcac,201213-Q2,20,14,6
fcac,201213-Q3,6,6,0
fcac,201213-Q4,13,13,0
fcac,201314-Q1,18,15,3
fcac,201314-Q2,7,6,1
fcac,201314-Q3,5,5,0
fcac,201314-Q4,13,13,0
fcac,201415-Q1,20,20,0
fcac,201415-Q2,18,18,0
fcac,201415-Q3,9,9,0
fcac,201415-Q4,19,19,0
fcac,201516-Q1,17,15,2
fcac,201516-Q2,12,10,2
fcac,201516-Q3,11,10,1
fcac,201516-Q4,19,17,2
fcac,201617-Q1,12,12,0
fcac,201617-Q2,6,5,1
fcac,201617-Q3,19,19,0
fcac,201617-Q4,18,15,3
fcac,201718-Q1,20,18,2
fcac,201718-Q2,17,13,4
fcac,201718-Q3,24,24,0
fcac,201718-Q4,29,27,2
fcac,201819-Q1,23,19,4
fcac,201819-Q2,16,16,0
fcac,201819-Q3,25,21,4
feddev,200910-Q3,39,32,7
feddev,200910-Q4,35,28,7
feddev,201011-Q1,61,36,25
feddev,201011-Q2,41,29,12
feddev,201011-Q3,88,37,51
feddev,201011-Q4,71,33,38
feddev,201112-Q1,52,23,29
feddev,201112-Q2,33,10,23
feddev,201112-Q3,28,20,8
feddev,201112-Q4,49,24,25
feddev,201213-Q1,35,22,13
feddev,201213-Q2,24,13,11
feddev,201213-Q3,35,20,15
feddev,201213-Q4,41,22,19
feddev,201314-Q1,25,15,10
feddev,201314-Q2,10,5,5
feddev,201314-Q3,13,10,3
feddev,201314-Q4,24,12,12
feddev,201415-Q1,22,14,8
feddev,201415-Q2,11,5,6
feddev,201415-Q3,21,11,10
feddev,201415-Q4,40,21,19
feddev,201516-Q1,30,14,16
feddev,201516-Q2,8,6,2
feddev,201516-Q3,17,10,7
feddev,201516-Q4,13,9,4
feddev,201617-Q1,23,13,10
feddev,201617-Q2,6,3,3
feddev,201617-Q3,6,4,2
feddev,201617-Q4,16,12,4
feddev,201718-Q1,11,11,0
feddev,201718-Q2,6,4,2
feddev,201718-Q3,6,4,2
feddev,201718-Q4,11,9,2
feddev,201819-Q1,8,7,1
feddev,201819-Q2,8,6,2
fin,200405-Q1,54,54,0
fin,200405-Q2,47,47,0
fin,200405-Q3,58,58,0
fin,200405-Q4,86,86,0
fin,200506-Q1,134,134,0
fin,200506-Q2,96,96,0
fin,200506-Q3,72,72,0
fin,200506-Q4,62,62,0
fin,200607-Q1,78,78,0
fin,200607-Q2,78,78,0
fin,200607-Q3,79,79,0
fin,200607-Q4,130,130,0
fin,200708-Q1,84,84,0
fin,200708-Q2,77,75,2
fin,200708-Q3,97,97,0
fin,200708-Q4,124,124,0
fin,200809-Q1,65,65,0
fin,200809-Q2,59,59,0
fin,200809-Q3,59,59,0
fin,200809-Q4,84,84,0
fin,200910-Q1,80,75,5
fin,200910-Q2,55,43,12
fin,200910-Q3,47,41,6
fin,200910-Q4,81,65,16
fin,201011-Q1,62,54,8
fin,201011-Q2,33,25,8
fin,201011-Q3,37,30,7
fin,201011-Q4,71,58,13
fin,201112-Q1,47,37,10
fin,201112-Q2,56,47,9
fin,201112-Q3,50,45,5
fin,201112-Q4,66,50,16
fin,201213-Q1,31,23,8
fin,201213-Q2,28,14,14
fin,201213-Q3,57,47,10
fin,201213-Q4,50,27,23
fin,201314-Q1,36,30,6
fin,201314-Q2,35,22,13
fin,201314-Q3,37,24,13
fin,201314-Q4,35,26,9
fin,201415-Q1,40,34,6
fin,201415-Q2,46,35,11
fin,201415-Q3,40,28,12
fin,201415-Q4,39,29,10
fin,201516-Q1,39,30,9
fin,201516-Q2,21,15,6
fin,201516-Q3,28,18,10
fin,201516-Q4,32,19,13
fin,201617-Q1,65,54,11
fin,201617-Q2,18,12,6
fin,201617-Q3,46,31,15
fin,201617-Q4,46,31,15
fin,201718-Q1,58,45,13
fin,201718-Q2,22,16,6
fin,201718-Q3,32,15,17
fin,201718-Q4,49,34,15
fin,201819-Q1,30,25,5
fin,201819-Q2,34,29,5
fin,201819-Q3,30,23,7
fintrac,200405-Q1,11,11,0
fintrac,200405-Q2,4,4,0
fintrac,200405-Q3,5,5,0
fintrac,200405-Q4,20,20,0
fintrac,200506-Q1,12,12,0
fintrac,200506-Q2,9,9,0
fintrac,200506-Q3,8,8,0
fintrac,200506-Q4,32,32,0
fintrac,200607-Q1,15,15,0
fintrac,200607-Q2,10,10,0
fintrac,200607-Q3,27,27,0
fintrac,200607-Q4,29,29,0
fintrac,200708-Q1,32,32,0
fintrac,200708-Q2,23,23,0
fintrac,200708-Q3,26,26,0
fintrac,200708-Q4,46,46,0
fintrac,200809-Q1,19,19,0
fintrac,200809-Q2,9,9,0
fintrac,200809-Q3,18,18,0
fintrac,200809-Q4,17,17,0
fintrac,200910-Q1,12,12,0
fintrac,200910-Q2,11,11,0
fintrac,200910-Q3,10,10,0
fintrac,200910-Q4,32,32,0
fintrac,201011-Q1,6,6,0
fintrac,201011-Q2,8,8,0
fintrac,201011-Q3,19,19,0
fintrac,201011-Q4,42,42,0
fintrac,201112-Q1,15,15,0
fintrac,201112-Q2,17,17,0
fintrac,201112-Q3,18,18,0
fintrac,201112-Q4,40,40,0
fintrac,201213-Q1,14,14,0
fintrac,201213-Q2,9,9,0
fintrac,201213-Q3,16,16,0
fintrac,201213-Q4,31,31,0
fintrac,201314-Q1,6,6,0
fintrac,201314-Q2,2,2,0
fintrac,201314-Q3,9,9,0
fintrac,201314-Q4,7,7,0
fintrac,201415-Q1,2,2,0
fintrac,201415-Q2,1,1,0
fintrac,201415-Q3,4,4,0
fintrac,201415-Q4,11,11,0
fintrac,201516-Q1,1,1,0
fintrac,201516-Q2,4,4,0
fintrac,201516-Q3,4,4,0
fintrac,201516-Q4,8,8,0
fintrac,201617-Q1,3,3,0
fintrac,201617-Q2,2,2,0
fintrac,201617-Q3,3,3,0
fintrac,201617-Q4,23,22,1
fintrac,201718-Q1,4,4,0
fintrac,201718-Q2,2,2,0
fintrac,201718-Q3,7,7,0
fintrac,201718-Q4,23,22,1
fintrac,201819-Q1,9,9,0
fintrac,201819-Q2,6,5,1
fintrac,201819-Q3,10,10,0
fja,200708-Q4,21,21,0
fja,200809-Q1,17,17,0
fja,200809-Q2,9,9,0
fja,200809-Q3,11,11,0
fja,200809-Q4,10,10,0
fja,200910-Q1,32,32,0
fja,200910-Q2,13,11,2
fja,200910-Q3,7,5,2
fja,200910-Q4,16,14,2
fja,201011-Q1,35,34,1
fja,201011-Q2,9,9,0
fja,201011-Q3,14,12,2
fja,201011-Q4,23,22,1
fja,201112-Q1,47,44,3
fja,201112-Q2,20,18,2
fja,201112-Q3,15,13,2
fja,201112-Q4,48,40,8
fja,201213-Q1,16,13,3
fja,201213-Q2,16,14,2
fja,201213-Q3,21,15,6
fja,201213-Q4,57,52,5
fja,201314-Q1,20,18,2
fja,201314-Q2,10,6,4
fja,201314-Q3,23,17,6
fja,201314-Q4,60,53,7
fja,201415-Q1,19,14,5
fja,201415-Q2,15,13,2
fja,201415-Q3,19,19,0
fja,201415-Q4,45,37,8
fja,201516-Q1,19,16,3
fja,201516-Q2,22,21,1
fja,201516-Q3,30,28,2
fja,201516-Q4,20,19,1
fja,201617-Q1,15,13,2
fja,201617-Q2,14,14,0
fja,201617-Q3,32,32,0
fja,201617-Q4,20,18,2
fja,201718-Q1,28,26,2
fja,201718-Q2,15,9,6
fja,201718-Q3,38,35,3
fja,201718-Q4,20,15,5
fja,201819-Q1,16,15,1
fja,201819-Q2,12,11,1
fja,201819-Q3,29,28,1
fpcc,201617-Q3,1,1,0
fpcc,201718-Q1,1,1,0
fpcc,201718-Q3,1,1,0
fpcc,201819-Q1,3,3,0
fpcc,201819-Q2,2,2,0
gac,200405-Q1,469,459,10
gac,200405-Q2,406,387,19
gac,200405-Q3,332,318,14
gac,200405-Q4,651,626,25
gac,200506-Q1,318,310,8
gac,200506-Q2,458,444,14
gac,200506-Q3,362,352,10
gac,200506-Q4,958,934,24
gac,200607-Q1,968,941,27
gac,200607-Q2,648,629,19
gac,200607-Q3,704,672,32
gac,200607-Q4,1128,1113,15
gac,200708-Q1,887,866,21
gac,200708-Q2,626,601,25
gac,200708-Q3,658,634,24
gac,200708-Q4,980,960,20
gac,200809-Q1,776,752,24
gac,200809-Q2,734,697,37
gac,200809-Q3,417,406,11
gac,200809-Q4,504,498,6
gac,200910-Q1,674,654,20
gac,200910-Q2,350,344,6
gac,200910-Q3,681,618,63
gac,200910-Q4,926,810,116
gac,201011-Q1,807,739,68
gac,201011-Q2,689,625,64
gac,201011-Q3,711,626,85
gac,201011-Q4,1151,1082,69
gac,201112-Q1,710,645,65
gac,201112-Q2,620,577,43
gac,201112-Q3,672,600,72
gac,201112-Q4,1031,944,87
gac,201213-Q1,587,523,64
gac,201213-Q2,491,423,68
gac,201213-Q3,704,632,72
gac,201213-Q4,957,825,132
gac,201314-Q1,770,657,113
gac,201314-Q2,627,527,100
gac,201314-Q3,646,550,96
gac,201314-Q4,963,823,140
gac,201415-Q1,839,719,120
gac,201415-Q2,720,639,81
gac,201415-Q3,724,600,124
gac,201415-Q4,956,826,130
gac,201516-Q1,892,765,127
gac,201516-Q2,692,575,117
gac,201516-Q3,733,607,126
gac,201516-Q4,910,735,175
gac,201617-Q1,811,700,111
gac,201617-Q2,657,549,108
gac,201617-Q3,629,537,92
gac,201617-Q4,975,852,123
gac,201718-Q1,881,768,113
gac,201718-Q2,790,673,117
gac,201718-Q3,961,820,141
gac,201718-Q4,1514,1340,174
gac,201819-Q1,981,812,169
gac,201819-Q2,938,805,133
gac,201819-Q3,1015,845,170
hc,201011-Q3,707,620,87
hc,201011-Q4,974,907,67
hc,201112-Q1,840,690,150
hc,201112-Q2,703,553,150
hc,201112-Q3,718,608,110
hc,201112-Q4,975,889,86
hc,201213-Q1,783,571,212
hc,201213-Q2,604,407,197
hc,201213-Q3,777,571,206
hc,201213-Q4,783,578,205
hc,201314-Q1,180,82,98
hc,201314-Q2,933,746,187
hc,201314-Q3,723,479,244
hc,201314-Q4,855,646,209
hc,201415-Q1,752,551,201
hc,201415-Q2,473,367,106
hc,201415-Q3,567,428,139
hc,201415-Q4,755,612,143
hc,201516-Q1,539,411,128
hc,201516-Q2,456,355,101
hc,201516-Q3,514,400,114
hc,201516-Q4,674,496,178
hc,201617-Q1,505,406,99
hc,201617-Q2,424,318,106
hc,201617-Q3,622,509,113
hc,201617-Q4,597,447,150
hc,201718-Q1,440,351,89
hc,201718-Q2,374,298,76
hc,201718-Q3,434,334,100
hc,201718-Q4,547,463,84
hc,201819-Q1,391,341,50
hc,201819-Q2,325,280,45
hc,201819-Q3,423,343,80
ic,200405-Q1,657,657,0
ic,200405-Q2,389,389,0
ic,200405-Q3,487,487,0
ic,200405-Q4,780,780,0
ic,200506-Q1,646,646,0
ic,200506-Q2,383,383,0
ic,200506-Q3,536,536,0
ic,200506-Q4,766,766,0
ic,200607-Q1,398,398,0
ic,200607-Q2,428,428,0
ic,200607-Q3,411,411,0
ic,200607-Q4,763,763,0
ic,200708-Q1,389,389,0
ic,200708-Q2,307,307,0
ic,200708-Q3,386,386,0
ic,200708-Q4,671,671,0
ic,200809-Q1,393,393,0
ic,200809-Q2,287,287,0
ic,200809-Q3,408,408,0
ic,200809-Q4,599,599,0
ic,200910-Q1,373,373,0
ic,200910-Q2,277,277,0
ic,200910-Q3,388,356,32
ic,200910-Q4,567,559,8
ic,201011-Q1,304,301,3
ic,201011-Q2,232,224,8
ic,201011-Q3,376,339,37
ic,201011-Q4,594,516,78
ic,201112-Q1,243,210,33
ic,201112-Q2,212,183,29
ic,201112-Q3,368,320,48
ic,201112-Q4,627,548,79
ic,201213-Q1,255,230,25
ic,201213-Q2,195,162,33
ic,201213-Q3,288,247,41
ic,201213-Q4,509,445,64
ic,201314-Q1,244,200,44
ic,201314-Q2,241,201,40
ic,201314-Q3,309,272,37
ic,201314-Q4,518,447,71
ic,201415-Q1,270,221,49
ic,201415-Q2,254,196,58
ic,201415-Q3,303,254,49
ic,201415-Q4,398,337,61
ic,201516-Q1,317,263,54
ic,201516-Q2,241,190,51
ic,201516-Q3,280,240,40
ic,201516-Q4,405,354,51
ic,201617-Q1,280,248,32
ic,201617-Q2,288,215,73
ic,201617-Q3,295,239,56
ic,201617-Q4,434,367,67
ic,201718-Q1,326,267,59
ic,201718-Q2,304,238,66
ic,201718-Q3,319,254,65
ic,201718-Q4,553,474,79
ic,201819-Q1,262,194,68
ic,201819-Q2,307,218,89
ic,201819-Q3,341,263,78
ijc,201718-Q1,4,4,0
ijc,201718-Q2,6,6,0
ijc,201718-Q3,8,8,0
ijc,201718-Q4,14,14,0
ijc,201819-Q1,10,10,0
ijc,201819-Q2,9,9,0
ijc,201819-Q3,7,7,0
inac,201314-Q1,326,256,70
inac,201314-Q2,261,182,79
inac,201314-Q3,233,183,50
inac,201314-Q4,360,301,59
inac,201415-Q1,418,418,0
inac,201415-Q2,333,295,38
inac,201415-Q3,259,209,50
inac,201415-Q4,406,359,47
inac,201516-Q1,255,207,48
inac,201516-Q2,197,133,64
inac,201516-Q3,237,188,49
inac,201516-Q4,293,250,43
inac,201617-Q1,232,188,44
inac,201617-Q2,177,135,42
inac,201617-Q3,272,236,36
inac,201617-Q4,293,215,78
inac,201718-Q1,248,213,35
inac,201718-Q2,275,217,58
inac,201718-Q3,199,159,40
inac,201718-Q4,313,248,65
infra,200607-Q1,20,20,0
infra,200607-Q2,12,12,0
infra,200607-Q3,22,22,0
infra,200607-Q4,1,1,0
infra,200708-Q1,31,31,0
infra,200708-Q2,19,19,0
infra,200708-Q3,18,18,0
infra,200708-Q4,39,38,1
infra,200809-Q1,18,18,0
infra,200809-Q2,19,19,0
infra,200809-Q3,7,7,0
infra,200809-Q4,27,27,0
infra,200910-Q1,17,17,0
infra,200910-Q2,35,35,0
infra,200910-Q3,21,21,0
infra,200910-Q4,35,35,0
infra,201011-Q1,24,24,0
infra,201011-Q2,34,31,3
infra,201011-Q3,13,13,0
infra,201011-Q4,35,33,2
infra,201112-Q1,18,15,3
infra,201112-Q2,26,21,5
infra,201112-Q3,17,16,1
infra,201112-Q4,22,20,2
infra,201213-Q1,23,20,3
infra,201213-Q2,10,8,2
infra,201213-Q3,13,13,0
infra,201213-Q4,18,17,1
infra,201314-Q1,12,12,0
infra,201314-Q2,11,9,2
infra,201314-Q3,8,6,2
infra,201314-Q4,17,15,2
infra,201415-Q1,23,20,3
infra,201415-Q2,22,21,1
infra,201415-Q3,20,18,2
infra,201415-Q4,20,17,3
infra,201516-Q1,24,22,2
infra,201516-Q2,25,25,0
infra,201516-Q3,13,8,5
infra,201516-Q4,28,23,5
infra,201617-Q1,26,24,2
infra,201617-Q2,30,24,6
infra,201617-Q3,21,16,5
infra,201617-Q4,66,58,8
infra,201718-Q1,28,22,6
infra,201718-Q2,36,26,10
infra,201718-Q3,28,26,2
infra,201718-Q4,29,22,7
infra,201819-Q1,40,34,6
infra,201819-Q2,26,20,6
infra,201819-Q3,34,25,9
ircc,201011-Q1,223,222,1
ircc,201011-Q2,253,239,14
ircc,201011-Q3,298,253,45
ircc,201011-Q4,287,257,30
ircc,201112-Q1,228,203,25
ircc,201112-Q2,154,131,23
ircc,201112-Q3,190,144,46
ircc,201112-Q4,301,214,87
ircc,201213-Q1,209,155,54
ircc,201213-Q2,117,79,38
ircc,201213-Q3,244,168,76
ircc,201213-Q4,378,278,100
ircc,201314-Q1,253,175,78
ircc,201314-Q2,147,97,50
ircc,201314-Q3,228,151,77
ircc,201314-Q4,282,216,66
ircc,201415-Q1,140,115,25
ircc,201415-Q2,147,111,36
ircc,201415-Q3,168,144,24
ircc,201415-Q4,285,191,94
ircc,201516-Q1,143,117,26
ircc,201516-Q2,197,141,56
ircc,201516-Q3,208,181,27
ircc,201516-Q4,281,213,68
ircc,201617-Q1,160,112,48
ircc,201617-Q2,190,166,24
ircc,201617-Q3,195,160,35
ircc,201617-Q4,220,143,77
ircc,201718-Q1,145,107,38
ircc,201718-Q2,219,113,106
ircc,201718-Q3,182,111,71
ircc,201718-Q4,264,186,78
ircc,201819-Q1,187,147,40
ircc,201819-Q2,209,149,60
ircc,201819-Q3,215,136,79
isc,201718-Q3,39,38,1
isc,201718-Q4,153,130,23
isc,201819-Q1,166,143,23
just,200304-Q4,2,2,0
just,200405-Q1,173,173,0
just,200405-Q2,138,138,0
just,200405-Q3,134,134,0
just,200405-Q4,272,272,0
just,200506-Q1,171,171,0
just,200506-Q2,133,133,0
just,200506-Q3,197,194,3
just,200506-Q4,254,254,0
just,200607-Q1,176,176,0
just,200607-Q2,121,121,0
just,200607-Q3,112,112,0
just,200607-Q4,173,173,0
just,200708-Q1,126,126,0
just,200708-Q2,120,120,0
just,200708-Q3,153,153,0
just,200708-Q4,228,228,0
just,200809-Q1,169,169,0
just,200809-Q2,150,150,0
just,200809-Q3,201,201,0
just,200809-Q4,211,211,0
just,200910-Q1,273,204,69
just,200910-Q2,152,136,16
just,200910-Q3,166,147,19
just,200910-Q4,219,193,26
just,201011-Q1,174,169,5
just,201011-Q2,125,107,18
just,201011-Q3,124,113,11
just,201011-Q4,208,178,30
just,201112-Q1,151,130,21
just,201112-Q2,115,106,9
just,201112-Q3,152,134,18
just,201112-Q4,245,211,34
just,201213-Q1,122,91,31
just,201213-Q2,78,51,27
just,201213-Q3,99,80,19
just,201213-Q4,175,147,28
just,201314-Q1,129,113,16
just,201314-Q2,116,99,17
just,201314-Q3,110,92,18
just,201314-Q4,174,138,36
just,201415-Q1,91,75,16
just,201415-Q2,75,59,16
just,201415-Q3,108,75,33
just,201415-Q4,142,105,37
just,201516-Q1,131,111,20
just,201516-Q2,101,80,21
just,201516-Q3,110,84,26
just,201516-Q4,204,168,36
just,201617-Q1,131,116,15
just,201617-Q2,81,67,14
just,201617-Q3,93,77,16
just,201617-Q4,131,117,14
just,201718-Q1,109,106,3
just,201718-Q2,86,81,5
just,201718-Q3,78,74,4
just,201718-Q4,107,106,1
just,201819-Q1,124,118,6
just,201819-Q2,70,64,6
just,201819-Q3,132,128,4
lac,201213-Q4,77,77,0
lac,201314-Q1,49,45,4
lac,201314-Q2,56,47,9
lac,201314-Q3,75,67,8
lac,201314-Q4,103,87,16
lac,201415-Q1,60,51,9
lac,201415-Q2,50,37,13
lac,201415-Q3,50,40,10
lac,201415-Q4,75,62,13
lac,201516-Q1,51,42,9
lac,201516-Q2,39,29,10
lac,201516-Q3,38,32,6
lac,201516-Q4,64,48,16
lac,201617-Q1,42,36,6
lac,201617-Q2,36,33,3
lac,201617-Q3,36,27,9
lac,201617-Q4,67,43,24
lac,201718-Q1,34,29,5
lac,201718-Q2,46,38,8
lac,201718-Q3,46,35,11
lac,201718-Q4,70,46,24
lac,201819-Q1,44,40,4
lac,201819-Q2,39,33,6
lac,201819-Q3,53,47,6
mgerc,201516-Q2,2,2,0
mgerc,201617-Q1,22,22,0
mgerc,201617-Q2,3,3,0
mgerc,201617-Q3,17,17,0
mgerc,201617-Q4,8,7,1
mgerc,201718-Q1,1,1,0
mgerc,201718-Q2,2,2,0
mgerc,201718-Q3,6,5,1
mgerc,201718-Q4,8,8,0
mgerc,201819-Q2,3,2,1
mgerc,201819-Q3,9,8,1
mpcc,201617-Q1,8,7,1
mpcc,201617-Q2,5,5,0
mpcc,201617-Q3,5,3,2
mpcc,201617-Q4,3,3,0
mpcc,201718-Q1,6,6,0
mpcc,201718-Q2,4,4,0
mpcc,201718-Q3,5,4,1
mpcc,201718-Q4,10,8,2
mpcc,201819-Q1,4,3,1
mpcc,201819-Q2,3,3,0
mpcc,201819-Q3,13,13,0
neb,201516-Q4,76,69,7
neb,201617-Q1,45,42,3
neb,201617-Q2,51,43,8
neb,201617-Q3,51,44,7
neb,201617-Q4,82,78,4
neb,201718-Q1,82,65,17
neb,201718-Q2,33,28,5
neb,201718-Q3,31,23,8
neb,201718-Q4,70,58,12
neb,201819-Q1,60,51,9
neb,201819-Q2,38,30,8
neb,201819-Q3,35,25,10
neb,201819-Q4,1,1,0
neb,201920-Q3,2,2,0
nfb,201617-Q4,46,46,0
nfb,201718-Q1,40,39,1
nfb,201718-Q2,37,37,0
nfb,201718-Q3,47,46,1
nfb,201718-Q4,92,92,0
nfb,201819-Q1,30,30,0
nfb,201819-Q2,35,32,3
nfb,201819-Q3,55,51,4
nrc,200910-Q1,581,573,8
nrc,200910-Q2,540,513,27
nrc,200910-Q3,695,645,50
nrc,200910-Q4,1012,946,66
nrc,201011-Q1,446,403,43
nrc,201011-Q2,466,428,38
nrc,201011-Q3,621,567,54
nrc,201011-Q4,1190,1130,60
nrc,201112-Q1,427,366,61
nrc,201112-Q2,404,359,45
nrc,201112-Q3,568,513,55
nrc,201112-Q4,1036,985,51
nrc,201213-Q1,267,235,32
nrc,201213-Q2,288,258,30
nrc,201213-Q3,607,553,54
nrc,201213-Q4,864,797,67
nrc,201314-Q1,418,364,54
nrc,201314-Q2,454,408,46
nrc,201314-Q3,610,556,54
nrc,201314-Q4,893,815,78
nrc,201415-Q1,427,382,45
nrc,201415-Q2,355,310,45
nrc,201415-Q3,581,537,44
nrc,201415-Q4,898,816,82
nrc,201516-Q1,568,486,82
nrc,201516-Q2,529,475,54
nrc,201516-Q3,707,613,94
nrc,201516-Q4,857,788,69
nrc,201617-Q1,614,533,81
nrc,201617-Q2,591,516,75
nrc,201617-Q3,707,612,95
nrc,201617-Q4,962,804,158
nrc,201718-Q1,691,567,124
nrc,201718-Q2,616,533,83
nrc,201718-Q3,699,608,91
nrc,201718-Q4,1015,851,164
nrc,201819-Q1,601,501,100
nrc,201819-Q2,529,459,70
nrc,201819-Q3,666,565,101
nrcan,201112-Q1,400,400,0
nrcan,201112-Q2,413,411,2
nrcan,201112-Q3,490,480,10
nrcan,201112-Q4,794,794,0
nrcan,201213-Q1,302,294,8
nrcan,201213-Q2,368,358,10
nrcan,201213-Q3,564,531,33
nrcan,201213-Q4,728,676,52
nrcan,201314-Q1,343,332,11
nrcan,201314-Q2,359,329,30
nrcan,201314-Q3,414,401,13
nrcan,201314-Q4,791,743,48
nrcan,201415-Q1,370,324,46
nrcan,201415-Q2,343,293,50
nrcan,201415-Q3,484,440,44
nrcan,201415-Q4,864,797,67
nrcan,201516-Q1,362,309,53
nrcan,201516-Q2,419,373,46
nrcan,201516-Q3,489,434,55
nrcan,201516-Q4,718,658,60
nrcan,201617-Q1,341,298,43
nrcan,201617-Q2,357,322,35
nrcan,201617-Q3,488,442,46
nrcan,201617-Q4,881,787,94
nrcan,201718-Q1,380,323,57
nrcan,201718-Q2,404,356,48
nrcan,201718-Q3,475,423,52
nrcan,201718-Q4,885,803,82
nrcan,201819-Q1,365,308,57
nrcan,201819-Q2,401,351,50
nrcan,201819-Q3,554,497,57
nserc,201718-Q1,43,43,0
nserc,201718-Q2,16,16,0
nserc,201718-Q3,12,12,0
nserc,201718-Q4,75,70,5
nserc,201819-Q1,26,23,3
nserc,201819-Q2,39,30,9
nserc,201819-Q3,46,43,3
oag,201617-Q4,81,79,2
oag,201718-Q1,52,46,6
oag,201718-Q2,23,21,2
oag,201718-Q3,36,31,5
oag,201718-Q4,84,80,4
oag,201819-Q1,35,33,2
oag,201819-Q2,29,19,10
oag,201819-Q3,54,46,8
oci,201617-Q4,3,2,1
oci,201718-Q1,1,1,0
oci,201718-Q2,2,2,0
oci,201718-Q4,2,0,2
oci,201819-Q1,2,2,0
oci,201819-Q2,1,1,0
ocl,201718-Q4,17,17,0
ocl,201819-Q1,5,5,0
ocol,201617-Q4,22,22,0
ocol,201718-Q1,12,12,0
ocol,201718-Q2,13,13,0
ocol,201718-Q3,23,21,2
ocol,201718-Q4,37,36,1
ocol,201819-Q1,12,11,1
ocol,201819-Q2,8,6,2
ocol,201819-Q3,11,10,1
oic,201718-Q4,32,32,0
oic,201819-Q1,13,13,0
oic,201819-Q2,9,9,0
oic,201819-Q3,18,16,2
opc,201819-Q1,25,25,0
opc,201819-Q2,15,15,0
opc,201819-Q3,27,23,4
osfi,201617-Q1,67,67,0
osfi,201617-Q2,54,45,9
osfi,201617-Q3,60,47,13
osfi,201617-Q4,98,73,25
osfi,201718-Q1,66,51,15
osfi,201718-Q2,66,51,15
osfi,201718-Q3,62,51,11
osfi,201718-Q4,117,82,35
osfi,201819-Q1,76,61,15
osfi,201819-Q2,62,42,20
osfi,201819-Q3,74,53,21
osgg,201617-Q4,29,29,0
osgg,201718-Q1,17,13,4
osgg,201718-Q2,11,6,5
osgg,201718-Q3,14,10,4
osgg,201718-Q4,15,13,2
osgg,201819-Q1,21,16,5
osgg,201819-Q2,12,12,0
osgg,201819-Q3,20,17,3
oto,200809-Q1,2,2,0
oto,200809-Q2,3,3,0
oto,200809-Q4,1,1,0
oto,200910-Q1,1,1,0
oto,200910-Q2,1,1,0
oto,200910-Q3,1,1,0
oto,200910-Q4,1,1,0
oto,201112-Q2,1,1,0
oto,201314-Q2,3,2,1
oto,201314-Q4,1,1,0
oto,201415-Q1,1,1,0
oto,201415-Q3,1,1,0
oto,201617-Q2,1,1,0
pbc,200910-Q1,2,2,0
pbc,200910-Q2,11,11,0
pbc,200910-Q3,13,13,0
pbc,200910-Q4,33,33,0
pbc,201011-Q1,12,12,0
pbc,201011-Q2,5,5,0
pbc,201011-Q3,11,11,0
pbc,201011-Q4,46,46,0
pbc,201112-Q1,17,17,0
pbc,201112-Q2,16,16,0
pbc,201112-Q3,14,14,0
pbc,201112-Q4,46,46,0
pbc,201213-Q1,10,10,0
pbc,201213-Q2,12,12,0
pbc,201213-Q3,23,23,0
pbc,201213-Q4,64,64,0
pbc,201314-Q1,18,18,0
pbc,201314-Q2,11,11,0
pbc,201314-Q3,16,16,0
pbc,201314-Q4,44,43,1
