owner_acronym,source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
cc,2010,62,34,28,606099.38,2516043.16
cc,2011,40,18,22,338180.81,1410651.92
cc,2012,52,29,23,472691.30,2980196.48
cc,2013,57,33,24,534403.02,3593303.63
cc,2014,54,34,20,506311.45,1736304.24
cc,2015,52,25,27,422860.54,1472259.68
cc,2016,67,29,38,457557.03,5789335.02
cc,2017,42,15,27,241052.00,3686336.00
ccohs,2016,4,3,1,49914.05,58500.00
ccohs,2017,19,13,6,211353.58,462043.52
ccohs,2018,16,12,4,181362.12,425352.75
ceaa,2004,59,53,6,877268.91,350016.40
ceaa,2005,57,42,15,700008.58,697808.74
ceaa,2006,28,17,11,274471.76,455069.44
ceaa,2007,52,35,17,601657.13,952807.32
ceaa,2008,88,65,23,1187985.98,1567696.98
ceaa,2009,69,50,19,864623.99,1124586.77
ceaa,2010,34,24,10,369478.05,827197.09
ceaa,2011,32,29,3,486256.31,256195.30
ceaa,2012,48,40,8,648738.59,428220.35
ceaa,2013,52,29,23,483452.25,1932345.23
ceaa,2014,20,11,9,186501.72,891373.49
ceaa,2015,12,9,3,160753.92,90439.55
ceaa,2016,55,31,24,563198.77,1763785.93
ceaa,2017,23,13,10,255110.28,731392.56
ceaa,2018,32,17,15,300647.97,1670941.47
ced,2004,114,73,41,1228413.00,5642111.00
ced,2005,135,89,46,1563428.00,3475741.00
ced,2006,154,110,44,1280208.76,2732882.93
ced,2007,118,84,34,1175745.43,2955611.29
ced,2008,160,112,48,1540888.17,2514450.09
ced,2009,146,92,54,1248767.18,3080377.95
ced,2010,137,93,44,1428192.04,3429543.94
ced,2011,99,61,38,944029.81,2622292.67
ced,2012,70,46,24,671685.44,3548195.11
ced,2013,69,47,22,732437.14,1444886.44
ced,2014,51,28,23,401603.69,2008136.98
ced,2015,46,28,18,409402.48,2061366.17
ced,2016,68,36,32,565703.16,2184313.98
ced,2017,53,34,19,548896.01,1882035.36
ced,2018,21,15,6,251321.58,556693.31
cfia,2011,488,244,244,4214978.88,36094033.07
cfia,2012,831,437,394,7398004.00,47802922.00
cfia,2013,852,400,452,7018180.56,91856909.80
cfia,2014,600,286,314,4820261.93,47108631.75
cfia,2015,531,263,268,4420687.49,47811973.07
cfia,2016,827,440,387,7722117.73,71841630.92
cfia,2017,449,221,228,3828032.23,46742567.77
cfia,2018,320,143,177,2544544.21,36154882.47
cgc,2016,42,28,14,421018.31,1013075.40
cgc,2017,122,71,51,1100784.66,6621235.53
cgc,2018,84,57,27,862272.76,1772719.86
chrc,2015,24,15,9,257542.17,863514.66
chrc,2017,29,19,10,373627.79,1682831.84
chrc,2018,26,19,7,359999.04,382239.54
cics,2017,6,4,2,56357.33,64161.75
cics,2018,17,15,2,212795.60,55187.98
cihr,2015,64,29,35,527595.19,4200741.53
cihr,2016,152,73,79,1317358.06,9862773.51
