owner_acronym,source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
ps,2005,317,211,106,3571022.93,8047471.24
ps,2006,396,219,177,3910090.07,16638861.66
ps,2007,390,214,176,3726766.77,18150928.23
ps,2008,338,210,128,3745654.99,15061102.03
ps,2009,402,214,188,3727881.95,23708965.11
ps,2010,381,200,181,3472586.85,29063608.09
ps,2011,385,230,155,4052245.02,23873032.11
ps,2012,313,171,142,2910864.70,27143322.73
ps,2013,271,137,134,2332157.62,24987682.83
ps,2014,273,122,151,2082062.15,29478680.33
ps,2015,291,130,161,2391588.60,27075589.48
ps,2016,260,138,122,2382982.40,10234279.25
ps,2017,210,101,109,1774817.88,13536874.00
ps,2018,158,77,81,1339372.28,13746986.31
psc,2004,160,109,51,1985087.00,4197984.00
psc,2005,232,139,93,2398978.00,9479688.00
psc,2006,261,173,88,3254843.00,7749150.00
psc,2007,301,181,120,3556635.00,11505170.00
psc,2008,228,157,71,2928563.00,5868591.00
psc,2009,166,102,64,1825317.00,6830625.00
psc,2010,146,93,53,1631253.00,6475043.00
psc,2011,137,94,43,1756698.00,4301272.00
psc,2012,76,43,33,768058.00,2320173.00
psc,2013,22,18,4,325228.00,317627.00
psc,2014,20,11,9,230110.00,780853.00
psc,2015,67,53,14,882355.00,1571097.00
psc,2016,47,31,16,493355.25,4070480.88
psc,2017,61,48,13,783308.41,1892702.75
psc,2018,53,34,19,560819.79,2485183.93
psic,2016,14,10,4,201456.27,271598.83
psic,2017,18,14,4,243316.39,443207.45
psic,2018,5,2,3,25484.30,138833.20
pspc,2004,6893,3204,3689,55760007.78,2794130901.40
pspc,2005,6496,2914,3582,49819131.72,825487319.74
pspc,2006,6024,3116,2908,53396573.83,605202955.93
pspc,2007,6858,3596,3262,61692652.70,701465436.63
pspc,2008,9768,4763,5005,81404955.10,1301407023.12
pspc,2009,8634,4387,4247,74766991.53,2014926427.00
pspc,2010,8770,4479,4291,76638448.70,5207180060.54
pspc,2011,7244,3839,3405,66174424.61,4348169452.26
pspc,2012,5915,3164,2751,54193470.55,3642015744.15
pspc,2013,5229,2844,2385,48232971.28,1670211882.33
pspc,2014,4998,2594,2404,44025766.57,2125305171.43
pspc,2015,4685,2324,2361,38532425.08,10774527366.03
pspc,2016,5335,2545,2790,42161984.09,3135772512.48
pspc,2017,5669,2682,2987,44474841.08,2515251970.34
pspc,2018,4081,2127,1954,35008861.44,2322519433.64
rcmp,2004,3455,2229,1226,35290162.13,222964676.38
rcmp,2005,3666,2298,1368,37064861.98,248504794.83
rcmp,2006,3888,2276,1612,37468512.78,272482429.27
rcmp,2007,3863,2242,1621,36941988.91,283368659.10
rcmp,2008,4206,2376,1830,40150478.11,435475678.30
rcmp,2009,3311,1776,1535,29887699.54,606048145.96
rcmp,2010,3145,1780,1365,30251334.66,301173011.62
rcmp,2011,3010,1635,1375,27238128.68,303159025.47
rcmp,2012,2645,1338,1307,22752542.14,364350028.32
rcmp,2013,2766,1429,1337,23883713.60,315265284.40
rcmp,2014,2697,1386,1311,23116862.25,349111249.43
rcmp,2015,2971,1450,1521,24388604.60,368238188.26
rcmp,2016,3078,1560,1518,25836926.68,424266180.43
rcmp,2017,3264,1503,1761,25081163.23,551084988.56
rcmp,2018,2137,1003,1134,16931077.56,377215977.11
sirc,2015,2,0,2,0.00,100000.00
sirc,2016,10,1,9,24750.00,840973.94
sirc,2017,21,12,9,192622.38,1700762.88
sirc,2018,10,9,1,139459.45,40000.00
ssc,2011,10,3,7,39593.00,11620205.00
ssc,2012,1860,655,1205,11369489.85,286566313.17
ssc,2013,2473,648,1825,11170781.32,3525109210.06
ssc,2014,1395,413,982,6938057.50,2470964515.05
ssc,2015,545,151,394,2504371.55,280894406.47
ssc,2016,1761,444,1317,7505524.33,3422414622.51
ssc,2017,2133,603,1530,10113402.51,2360952231.84
ssc,2018,914,356,558,6083929.23,377443242.11
sshrc,2017,34,15,19,276905.65,2081369.90
sshrc,2018,24,18,6,407192.70,562307.60
stats,2004,583,337,246,5751050.71,36637846.77
stats,2005,883,547,336,9222505.28,40993249.77
stats,2006,647,396,251,6675322.19,25935018.65
stats,2007,484,306,178,5143206.41,24266814.77
stats,2008,439,249,190,4305382.34,32846907.05
stats,2009,620,344,276,6037787.14,75857645.46
stats,2010,632,353,279,6036305.26,52283556.62
stats,2011,463,225,238,3808589.67,106743733.60
stats,2012,241,110,131,1792578.51,23964442.78
stats,2013,399,194,205,3337296.37,33909205.79
stats,2014,284,144,140,2322871.80,39240838.52
stats,2015,395,219,176,3726929.16,50262699.97
stats,2016,272,138,134,2467477.72,52171338.50
stats,2017,245,119,126,2074484.26,24931403.58
stats,2018,129,69,60,1251599.24,14233041.88
swc,2016,15,10,5,171003.70,318483.36
swc,2017,80,56,24,921293.31,1139440.31
swc,2018,16,6,10,133580.42,685462.09
tbs,2004,283,181,102,3180677.24,7660519.07
tbs,2005,311,184,127,3423174.66,13067679.93
tbs,2006,399,240,159,4432989.19,34382379.72
tbs,2007,407,257,150,4801469.66,13529549.07
tbs,2008,356,225,131,4308065.29,14321061.41
tbs,2009,482,264,218,4571676.55,35330838.59
tbs,2010,353,161,192,2885317.47,39747796.95
tbs,2011,343,154,189,2838066.45,407175210.26
tbs,2012,194,101,93,1903463.81,38652721.40
tbs,2013,181,90,91,1715960.80,43308782.61
tbs,2014,166,71,95,1323347.33,29204619.91
tbs,2015,175,89,86,1773616.46,48202080.21
tbs,2016,186,82,104,1618937.51,45368933.98
tbs,2017,211,110,101,2291588.95,26349467.58
tbs,2018,193,103,90,2065070.40,100179598.09
tc,2011,1489,775,714,13288884.30,158571976.53
tc,2012,965,538,427,9229842.28,82510575.97
tc,2013,1349,793,556,13816541.23,107810384.54
tc,2014,1414,856,558,15176377.89,108395393.45
tc,2015,1099,606,493,10434281.26,94283432.08
tc,2016,907,495,412,8603633.71,70053995.89
tc,2017,1330,766,564,13795851.68,110875236.27
tc,2018,905,542,363,9449113.99,136015052.36
tsb,2016,3,2,1,24888.68,45586.50
tsb,2017,61,41,20,726735.24,1130283.83
tsb,2018,13,6,7,102396.89,365229.35
vac,2010,115,70,45,1168591.63,12179050.73
vac,2011,315,186,129,3323796.03,18953016.37
vac,2012,314,200,114,3312022.99,16084611.66
vac,2013,321,185,136,2947605.83,184892079.32
vac,2014,340,211,129,3520890.63,55883929.80
vac,2015,392,272,120,4531866.54,14675128.83
vac,2016,131,86,45,1600316.20,23812344.77
vac,2017,138,77,61,1399484.26,52349311.67
vac,2018,185,100,85,1692567.92,116803021.57
vrab,2011,9,9,0,143566.00,0.00
vrab,2012,6,5,1,66202.00,26798.00
vrab,2013,2,0,2,0.00,120257.00
vrab,2015,8,7,1,109206.00,68457.00
vrab,2016,2,1,1,13125.00,44161.00
vrab,2018,1,1,0,10206.02,0.00
wd,2018,22,13,9,195511.40,748783.63
