source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2008,2121,1151,970,18552387.83,268080126.92
2009,1734,961,773,15463983.79,129473160.15
2010,1843,971,872,15481787.77,325437788.20
2011,1801,1012,789,15947541.32,354572668.57
2012,1126,575,551,9264339.06,136327172.94
2013,923,486,437,7821141.55,91745899.85
2014,855,446,409,7504036.61,72742458.15
2015,501,226,275,3699022.76,51090559.90
2016,936,465,471,7210528.51,123776814.79
2017,684,340,344,5262335.60,91089799.94
