gen_vendor_normalized,total_entries,total_contracts,total_amendments
VERITAAQ TECHNOLOGY HOUSE,1263,492,771
CGI,955,407,548
CANADA POST,861,847,14
RANDSTAD,732,309,423
COMPUGEN,661,641,20
MODIS CANADA,478,190,288
HEWLETT PACKARD,444,426,18
TELUS CANADA,421,407,14
CANADIAN CORPS OF COMMISSIONAIRES,357,271,86
XEROX,342,114,228
4 OFFICE AUTOMATION,322,163,159
DELL COMPUTER,303,295,8
BELL CANADA,300,251,49
IBM CANADA,264,100,164
ECOLE DE LANGUES DE LESTRIE,261,261,0
TEKNION,247,238,9
TPG TECHNOLOGY CONSULTANTS,224,111,113
KONICA MINOLTA BUSINESS SOLUTIONS,209,104,105
ST JOSEPH PRINT GROUP,196,193,3
PANASONIC,193,111,82
EXCEL HUMAN RESOURCES,164,89,75
KROMAR PRINTING,161,160,1
CANON,153,67,86
SUPREMEX,148,141,7
IT NET CONSULTANTS,130,75,55
RICOH,127,57,70
SOFTCHOICE,114,101,13
COSSETTE COMMUNICATIONS,112,95,17
ERGO INDUSTRIAL SEATING SYSTEMS,103,103,0
MTS ALLSTREAM,96,86,10
THE DATA GROUP PARTNERSHIP,91,91,0
SHRED IT,83,35,48
THE DATA GROUP OF COMPANIES,83,83,0
PITNEY BOWES,75,48,27
NORTHERN MICRO,73,57,16
MASHAKRUPP,68,68,0
GARTNER,66,65,1
PRECISIONERP,63,27,36
SUSTEMA,63,63,0
DELOITTE AND TOUCHE,62,36,26
DATA GROUP,59,58,1
TOSHIBA OF CANADA,58,29,29
BELLORS,58,55,3
ECOLE DE LANGUE DE LESTRIE,56,56,0
NISHA TECHONOLOGIES,55,21,34
BRC BUSINESS ENTERPRISES,54,54,0
IBISKA TELECOM,52,25,27
ITEX,50,38,12
CDW CANADA,49,36,13
SASKTEL,48,48,0
MICROSOFT CANADA,48,36,12
ENVELOPPE CONCEPT,47,46,1
RE GILMORE INVESTMENTS,47,47,0
GALBRAITH COMMUNICATIONS,46,35,11
CHUBB EDWARDS,45,41,4
SAS INSTITUTE,44,40,4
LES EDITIONS ELECTRONIQUES CGS,42,42,0
HAWORTH,42,42,0
PRINTERS PLUS,40,39,1
INLINE SYSTEMS,39,37,2
LEXISNEXIS CANADA,37,24,13
ERGO INDUSTRIAL SEATING SYSTEMS O A ERGOCENTRIC SEATING SYSTEMS,37,37,0
TOSHIBA CANADA,36,25,11
MITEL,35,32,3
CHASE OFFICE INTERIORS,34,33,1
STEELCASE CANADA,34,33,1
ECOLE CREUSOT,34,30,4
QUINTET CONSULTING,33,24,9
NEWS CANADA,33,31,2
SHARP ELECTRONICS,32,18,14
DATA COMMUNICATIONS MANAGEMENT,30,29,1
GSI INTERNATIONAL CONSULTING GROUP,29,17,12
SAP,29,14,15
WEST COAST COURT BAILIFFS,29,24,5
TANJA WACYK ARBITRATION MEDIATION I,29,15,14
HAY GROUP,28,28,0
CA CANADA COMPANY,28,10,18
COENTREPRISE CITE CARON,28,23,5
DAY ROSS,27,22,5
ORACLE CANADA,27,21,6
KBS,27,21,6
MOORE CANADA,27,20,7
PRECISION ERP,26,16,10
THOMSON REUTERS CANADA,26,17,9
CCSI TECHNOLOGY SOLUTIONS,25,25,0
BANCTEC CANADA,25,6,19
GN JOHNSTON EQUIPMENT,24,17,7
ENTRUST,24,10,14
MAXSYS,23,15,8
ADT SECURITY SERVICES CANADA,23,22,1
CONSOLIDATED CIVIL ENFORCEMENT,23,13,10
CCH CANADIAN,22,16,6
KABOOM COMMUNICATION DESIGN,22,19,3
MARFTEC,22,18,4
ROBERT HALF CANADA,22,12,10
NOVA NETWORKS,21,20,1
MOBILSHRED RECALL,21,13,8
ENARA TECHNOLOGIES,20,8,12
BMB DATA CONSULTING SERVICES,20,11,9
PERCEPTICS,20,1,19
