source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2008,2121,1067,111,943,16481917.54,2760930.19,267389667.02
2009,1734,894,90,750,13815508.27,2232436.47,128889199.20
2010,1843,910,84,849,13977865.33,2086309.70,324855400.94
2011,1801,953,69,779,14497469.55,1704358.09,354318382.25
2012,1126,520,62,544,7907326.53,1535036.18,136149149.29
2013,923,439,57,427,6661771.55,1412852.58,91492417.27
2014,855,399,53,403,6341601.59,1314091.27,72590801.90
2015,501,204,31,266,3156846.56,769923.51,50862812.59
2016,936,435,37,464,6469129.01,921210.13,123597004.16
2017,684,321,21,342,4793032.73,520367.16,91038735.65
