gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
CANADA POST CORPORATION,2008,48,48,0
CANADA POST CORPORATION,2009,71,70,1
CANADA POST CORPORATION,2010,73,52,21
CANADA POST CORPORATION,2011,90,35,55
CANADA POST CORPORATION,2012,107,71,36
CANADA POST CORPORATION,2013,103,31,72
CANADA POST CORPORATION,2014,127,127,0
CANADA POST CORPORATION,2015,126,126,0
CANADA POST CORPORATION,2016,85,81,4
CANADA POST CORPORATION,2017,66,63,3
CANADIAN CORPS OF COMMISSIONAIRES,2008,76,61,15
CANADIAN CORPS OF COMMISSIONAIRES,2009,71,52,19
CANADIAN CORPS OF COMMISSIONAIRES,2010,64,45,19
CANADIAN CORPS OF COMMISSIONAIRES,2011,30,9,21
CANADIAN CORPS OF COMMISSIONAIRES,2012,1,1,0
CANADIAN CORPS OF COMMISSIONAIRES,2014,20,19,1
CANADIAN CORPS OF COMMISSIONAIRES,2015,40,40,0
CANADIAN CORPS OF COMMISSIONAIRES,2016,43,40,3
CANADIAN CORPS OF COMMISSIONAIRES,2017,24,15,9
CGI,2008,373,166,207
CGI,2009,410,159,251
CGI,2010,168,78,90
CGI,2011,2,2,0
CGI,2012,2,2,0
COMPUGEN,2008,149,148,1
COMPUGEN,2009,118,118,0
COMPUGEN,2010,119,114,5
COMPUGEN,2011,100,88,12
COMPUGEN,2012,102,101,1
COMPUGEN,2013,34,34,0
COMPUGEN,2014,21,21,0
COMPUGEN,2015,11,11,0
COMPUGEN,2016,4,3,1
COMPUGEN,2017,5,5,0
HEWLETT PACKARD,2008,94,92,2
HEWLETT PACKARD,2009,96,92,4
HEWLETT PACKARD,2010,90,87,3
HEWLETT PACKARD,2011,160,152,8
HEWLETT PACKARD,2015,2,2,0
HEWLETT PACKARD,2016,2,2,0
HEWLETT PACKARD,2017,1,0,1
MODIS CANADA,2010,51,21,30
MODIS CANADA,2011,59,19,40
MODIS CANADA,2012,98,39,59
MODIS CANADA,2013,44,19,25
MODIS CANADA,2014,42,27,15
MODIS CANADA,2015,64,62,2
MODIS CANADA,2016,77,32,45
MODIS CANADA,2017,92,20,72
RANDSTAD,2008,1,1,0
RANDSTAD,2010,32,19,13
RANDSTAD,2011,92,36,56
RANDSTAD,2012,145,60,85
RANDSTAD,2013,101,49,52
RANDSTAD,2014,60,38,22
RANDSTAD,2015,110,105,5
RANDSTAD,2016,112,44,68
RANDSTAD,2017,155,33,122
TELUS CANADA,2008,114,111,3
TELUS CANADA,2009,96,94,2
TELUS CANADA,2010,102,99,3
TELUS CANADA,2011,89,84,5
TELUS CANADA,2012,2,2,0
TELUS CANADA,2013,1,1,0
TELUS CANADA,2014,2,2,0
TELUS CANADA,2015,6,6,0
TELUS CANADA,2016,11,11,0
TELUS CANADA,2017,2,1,1
VERITAAQ TECHNOLOGY HOUSE,2009,1,1,0
VERITAAQ TECHNOLOGY HOUSE,2010,217,88,129
VERITAAQ TECHNOLOGY HOUSE,2011,202,61,141
VERITAAQ TECHNOLOGY HOUSE,2012,203,81,122
VERITAAQ TECHNOLOGY HOUSE,2013,132,62,70
VERITAAQ TECHNOLOGY HOUSE,2014,86,54,32
VERITAAQ TECHNOLOGY HOUSE,2015,168,164,4
VERITAAQ TECHNOLOGY HOUSE,2016,180,68,112
VERITAAQ TECHNOLOGY HOUSE,2017,196,35,161
XEROX,2008,30,17,13
XEROX,2009,79,25,54
XEROX,2010,95,21,74
XEROX,2011,100,22,78
XEROX,2012,22,14,8
XEROX,2013,3,3,0
XEROX,2014,6,5,1
XEROX,2015,3,3,0
XEROX,2017,5,5,0
