owner_acronym,sum_effective_value
ssc,57045702.96
dnd,13474716.44
stats,6235189.70
tc,2648612.52
pspc,2397719.74
rcmp,1665065.60
ec,649063.64
just,488703.52
dfo,345544.06
ic,245270.00
nrc,211981.00
osfi,149591.54
nserc,129304.62
agr,119078.40
pc,107017.81
inac,52109.40
tbs,47597.70
crtc,28973.70
cfia,28720.08
cbsa,27939.43
nrcan,23984.25
ps,23269.44
atssc,12665.10
