owner_acronym,source_year,total_entries,total_contracts,total_amendments
csc,2014,9,8,1
csc,2015,4,4,0
csc,2016,3,2,1
csc,2017,2,1,1
dfo,2010,73,70,3
dfo,2011,80,78,2
dfo,2012,69,67,2
dfo,2013,75,74,1
dfo,2014,86,86,0
dfo,2015,54,54,0
dfo,2016,80,80,0
dfo,2017,32,32,0
dnd,2008,2,2,0
dnd,2009,45,45,0
dnd,2010,48,48,0
dnd,2011,56,56,0
dnd,2012,68,68,0
dnd,2013,56,56,0
dnd,2014,12,12,0
dnd,2015,20,20,0
dnd,2016,52,42,10
dnd,2017,19,19,0
ec,2008,1,1,0
pc,2009,1,1,0
pc,2010,1,1,0
pspc,2008,1,1,0
rcmp,2010,1,1,0
tc,2012,2,2,0
tc,2013,2,2,0
tc,2014,1,1,0
tc,2015,1,1,0
tc,2016,1,1,0
