source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2012,77,56,10,11,835678.11,246593.97,1005904.22
2013,246,122,36,88,1940948.05,888232.61,11776392.31
2014,190,93,35,62,1474910.37,866218.88,9225195.26
2015,151,73,22,56,1146091.71,543940.32,9850992.71
2016,139,65,20,54,1071210.46,493131.69,11407400.49
2017,148,64,22,62,1064032.10,543029.88,8281848.87
