gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
CORNERSTONE RESEARCH GROUP,2017,1,1,0
DENIS BELANGER,2016,1,1,0
DENIS BELANGER,2017,1,0,1
ECOLE DE LANGUES ABCE,2016,1,1,0
ECOLE DE LANGUES ABCE,2017,1,1,0
EXCEL HUMAN RESOURCES,2017,1,1,0
EXEL HUMAN RESOURCES,2017,1,1,0
IQVIA,2017,2,2,0
OTTAWA VALLEY REGIONAL DRUG INFORMATION SERVICE,2016,1,1,0
OTTAWA VALLEY REGIONAL DRUG INFORMATION SERVICE,2017,1,0,1
QUANTUM MANAGEMENT SERVICES,2016,2,1,1
RICHARD SCHWINDT,2016,2,2,0
SAS INSTITUTE,2016,1,1,0
SAS INSTITUTE,2017,2,2,0
