owner_acronym,source_year,total_entries,total_contracts,total_amendments
cnsc,2014,1,1,0
csc,2014,1,1,0
dfo,2016,2,1,1
dfo,2017,2,0,2
dnd,2008,16,16,0
dnd,2009,24,12,12
dnd,2010,17,11,6
dnd,2011,22,15,7
dnd,2012,10,5,5
dnd,2013,11,7,4
dnd,2014,22,19,3
dnd,2015,25,24,1
dnd,2016,11,8,3
dnd,2017,6,3,3
esdc,2012,5,5,0
esdc,2013,12,12,0
esdc,2014,7,7,0
esdc,2015,2,2,0
esdc,2016,2,2,0
esdc,2017,4,3,1
ic,2009,2,2,0
ircc,2010,1,1,0
neb,2015,1,1,0
nrc,2009,1,1,0
nrc,2010,2,2,0
nrc,2011,2,2,0
nrc,2012,1,1,0
nrc,2013,1,1,0
nrc,2014,2,2,0
nrc,2015,1,1,0
nrc,2016,1,1,0
nrcan,2013,1,1,0
tc,2011,4,4,0
tc,2012,1,1,0
tc,2013,2,2,0
tc,2014,3,3,0
tc,2015,6,5,1
tc,2016,2,1,1
tc,2017,2,2,0
