owner_acronym,sum_effective_value
cra,72065195.97
ircc,23174289.29
cbsa,15294373.14
gac,7803621.02
esdc,4621715.29
ec,4183215.35
dnd,3085714.11
tbs,2863285.78
ssc,2795183.66
pspc,2267535.95
cnsc,1824981.45
ic,1593614.75
hc,797056.64
ps,717466.81
osfi,585227.00
phac,561197.34
cfia,526377.10
just,443907.54
nrc,439754.40
dfo,365614.58
pc,222859.04
rcmp,199619.74
atssc,192006.78
tc,188574.26
cta,156878.40
pch,152705.35
neb,106184.91
cihr,100172.00
cc,97350.00
csa,97342.88
acoa,75959.73
agr,75272.35
ppsc,75023.82
nrcan,68392.15
pbc,61993.00
csps,58675.28
inac,29409.88
csc,27446.48
stats,24500.00
ceaa,21891.77
vac,19819.30
fintrac,14472.99
oto,11775.83
isc,5307.75
