vendor_normalized,effective_year,sum_yearly_value
BELL CANADA,2016,9200.46
BELL CANADA,2017,16861.86
BENNETT DAVID LL B,2016,14683.03
BENNETT DAVID LL B,2017,32715.8
DENTONS CANADA LLP,2017,160000.01
ERNST & YOUNG,2016,15565.75
ERNST & YOUNG,2017,15565.75
NORTHERN MICRO,2017,84762.67
OTUS GROUP,2016,12430
OTUS GROUP,2017,24860
S A G E CONSULTING,2015,15059.51
S A G E CONSULTING,2016,15059.51
S A G E CONSULTING,2017,15059.51
THE ACCESS INFORMATION AGENCY,2015,43393.206666667
THE ACCESS INFORMATION AGENCY,2016,43393.206666667
THE ACCESS INFORMATION AGENCY,2017,43393.206666667
WEBDRIVE CANADA,2015,47422.033333333
WEBDRIVE CANADA,2016,47422.033333333
WEBDRIVE CANADA,2017,47422.033333333
YINGST BARTEL ADR,2017,44200
