owner_acronym,sum_effective_value
rcmp,256663564.36
dnd,59529182.89
pc,11958412.25
ec,10446288.02
dfo,6906343.96
csc,5219856.35
hc,4887556.48
phac,4718619.86
cbsa,2620934.55
pspc,2188088.10
ic,2117854.00
tc,2021649.38
cfia,1845084.96
agr,1786060.44
nrc,990800.88
gac,827558.33
nrcan,618422.99
cra,554777.35
acoa,417225.52
esdc,305117.60
inac,261623.58
feddev,219286.16
ced,162663.99
pco,160646.07
cnsc,136681.20
tbs,93999.13
ps,90963.20
ppsc,50918.70
infra,45690.42
ircc,38960.71
stats,36915.99
just,32479.86
neb,26679.45
vac,24984.75
csa,18294.15
ocol,16042.43
