source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2008,1941,1219,111,611,18963442.92,2750280.07,64476873.33
2009,2235,1371,144,720,21039069.41,3577526.35,131284534.12
2010,2249,1394,129,726,21688196.60,3201437.08,104492838.49
2011,1861,1157,108,596,17943680.50,2683072.02,98545420.95
2012,1590,969,86,535,14708785.87,2136273.41,64895389.81
2013,2228,1287,147,794,20406147.43,3659562.13,116335901.66
2014,2469,1405,150,914,21996623.78,3734239.54,171102537.97
2015,3161,1606,194,1361,24962777.70,4814254.91,382765734.54
2016,2965,1507,158,1300,23138832.45,3916294.25,485937651.30
2017,2925,1414,159,1352,21919856.34,3948167.36,472800758.14
