owner_acronym,total_entries,total_contracts,total_amendments
pspc,221,149,72
cfia,129,63,66
gac,101,80,21
dnd,73,57,16
ic,68,50,18
hc,66,45,21
phac,56,41,15
ec,51,33,18
nrc,50,34,16
dfo,48,31,17
ircc,27,18,9
ssc,20,10,10
tbs,20,16,4
csa,14,13,1
just,14,8,6
tc,14,9,5
nrcan,13,10,3
pch,10,9,1
cnsc,10,7,3
inac,8,6,2
stats,8,8,0
feddev,7,2,5
elections,6,4,2
cbsa,5,3,2
cra,5,3,2
lac,5,3,2
psc,4,3,1
ps,4,4,0
csc,4,4,0
fin,4,3,1
infra,2,2,0
pc,2,2,0
pptc,2,1,1
ppsc,1,1,0
pco,1,1,0
oic,1,1,0
agr,1,1,0
fcac,1,1,0
esdc,1,1,0
cihr,1,1,0
