owner_acronym,sum_effective_value
pspc,13426633.78
gac,9106069.53
cfia,8241263.68
dnd,7406333.02
phac,7039801.27
hc,6952244.16
tbs,6203197.76
ic,3454401.95
ssc,3133027.50
stats,2727887.80
just,1742139.34
dfo,1732880.94
nrc,1667231.50
ircc,1607880.09
nrcan,1589627.22
ec,1107702.68
csa,787507.96
tc,612554.43
cnsc,572179.24
ps,514005.11
cbsa,438967.33
pch,338654.15
elections,314849.47
pptc,279286.88
cra,256501.13
inac,240026.38
fin,159964.65
esdc,152470.40
lac,128522.88
psc,118830.00
feddev,106294.80
pc,97489.96
oic,96586.55
agr,96050.00
csc,90614.60
infra,87108.51
cihr,65088.00
pco,43731.00
fcac,40841.38
