gen_vendor_normalized,total_entries,total_contracts,total_amendments
CANADIAN HEALTH CARE AGENCY,2165,673,1492
EXCEL HUMAN RESOURCES,618,375,243
ONTARIO DENTAL ASSOCIATION,555,156,399
BAYSHORE HEALTHCARE,483,166,317
VENTURE HEALTHCARE,470,159,311
XEROX,302,227,75
AGILENT,252,194,58
ACADA?MIE DE FORMATION LINGUISTIQUE,249,126,123
ALTIS HUMAN RESOURCES,247,151,96
SOLUTIONS STAFFING,242,126,116
MCKESSON CANADA,238,135,103
INDIGENOUS HEALTH GROUP,215,90,125
CARDINAL HEALTH CANADA,203,186,17
FISHER SCIENTIFIC,195,134,61
MASHA KRUPP TRANSLATION,168,84,84
QUANTUM MANAGEMENT SERVICES,157,119,38
LIONBRIDGE,155,94,61
WATERS,140,122,18
RICOH,133,108,25
DRAKE MEDOX HEALTH SERVICES,120,60,60
ILLUMINA CANADA,119,97,22
SOLUTIONS NURSING LFC,117,40,77
CANON,108,82,26
QMR,107,57,50
KNOWLEDGE CIRCLE LEARNING,102,41,61
TAG HR,99,70,29
LIFE TECHNOLOGIES,95,86,9
IDEXX LABORATORIES CANADA,92,60,32
ADIRONDACK TECHNOLOGIES FURNITURE,91,85,6
COSSETTE COMMUNICATIONS,90,59,31
NISHA TECHONOLOGIES,89,54,35
THE AIM GROUP,87,43,44
TEKNION,84,71,13
MULTI-OPTIONS NURSING,84,52,32
6256253 MANITOBA,84,83,1
SANOFI PASTEUR,83,49,34
IMPERIAL OIL,80,57,23
FORD MOTOR COMPAMY,80,60,20
SOURCE MEDICAL CORPORATION,73,2,71
FISHER SCIENTIFIC COMPANY,70,69,1
THERMO FISHER SCIENTIFIC,70,64,6
DYNAMIC PERSONNEL CONSULTANTS,69,50,19
IBM CANADA,69,58,11
CALIAN,69,27,42
TURTLE ISLAND STAFFING,68,52,16
GENESIS INTEGRATION,64,60,4
CANADIAN CORPS OF COMMISSIONAIRES,64,45,19
HENRY SCHEIN CANADA,59,49,10
PROLOGIC SYSTEMS,59,37,22
ESBE SCIENTIFIC,58,41,17
MULTI-OPTIONS,57,30,27
PWGSC,56,48,8
RTG PROTECH,55,31,24
MAXSYS PROFESSIONALS AND SOLUTIONS,53,31,22
RISK SCIENCES INTERNATIONAL,52,44,8
CACHE COMPUTER CONSULTING,52,27,25
TOTEM OFFISOURCE,51,49,2
SI SYSTEMS,48,17,31
VWR INTERNATIONAL CO,48,31,17
GLAXOSMITHKLINE,47,31,16
SOCIETE GAMMA,47,33,14
SOURCE MEDICAL,46,2,44
QIAGEN,46,45,1
SANEXEN SERVICES ENVIRONNEMENTAUX,45,39,6
IT/NET CONSULTANTS,45,18,27
SINCLAIR DENTAL COMPANY,45,40,5
INSTRUX MEDIA,44,43,1
GAMBLE TECHNOLOGIES,44,34,10
ECOLE DE LANGUES LA CITE,44,35,9
TETRA TECH SCIENCES INTERNATIONAL,42,38,4
CANBIOPHARMA CONSULTING,42,23,19
BERLITZ LANGUAGE CENTRE,41,23,18
ARTEMP PERSONNEL SERVICES,40,22,18
SUBARU CANADA,39,32,7
BIO RAD LAB,38,32,6
ADVANCED BUSINESS INTERIORS,37,32,5
MAXSYS STAFFING AND CONSULTING,37,28,9
VWR,37,23,14
SHARP ELECTRONICS,36,30,6
GOLDER ASSOCIATES,36,22,14
ISE,36,35,1
PITNEY BOWES,36,29,7
AIRCO AIRCRAFT CHARTERS,35,20,15
INSIGHT SOFTWARE CANADA,34,19,15
SECURIT RECORDS MANAGEMENT,34,16,18
NORTHERN MICRO,34,30,4
VWR CANLAB,34,24,10
PRINTERS PLUS,33,25,8
A?COLE DE LANGUES ABCE,33,31,2
BIO-RAD LABORATORIES CANADA,32,26,6
VWR CANADA,32,17,15
GSI INTERNATIONAL CONSULTING GROUP,32,16,16
FOX TRANSLATIONS,32,27,5
ILLUMINA,32,28,4
CHRYSLER CANADA,31,24,7
BRUKER,31,28,3
DELOITTE AND TOUCHE,31,20,11
DARE HR,31,11,20
MICROSOFT CANADA,30,24,6
TOXICOLOGY EXCELLENCE FOR,30,15,15
