owner_acronym,sum_effective_value
ssc,34286748.06
rcmp,22951406.90
dnd,22914157.92
ic,2848973.66
ec,2434346.11
stats,1894264.02
cfia,1700079.11
esdc,1603312.77
hc,1499960.47
cbsa,1486683.25
just,1160558.12
tc,797760.00
pspc,682420.36
ps,550880.15
csc,464431.75
pch,431739.76
fcac,402157.04
gac,302974.70
cihr,225314.42
lac,213180.15
osfi,182708.01
feddev,176980.29
acoa,156860.59
nrc,149502.00
nrcan,121929.60
ppsc,114521.45
agr,105722.33
psc,77967.00
pc,75914.49
dfo,73675.66
cpc,53705.96
cas,53453.82
phac,48131.54
inac,41615.64
ced,30379.27
fin,26797.95
osgg,26345.95
fintrac,20500.00
cra,10802.53
