owner_acronym,total_entries,total_contracts,total_amendments
rcmp,282,275,7
ssc,178,159,19
dnd,133,130,3
ec,76,76,0
ic,76,74,2
just,27,27,0
tc,19,19,0
cbsa,19,18,1
pspc,15,14,1
fcac,12,12,0
feddev,12,6,6
hc,12,12,0
dfo,10,10,0
stats,10,10,0
pc,8,8,0
csc,7,7,0
esdc,7,7,0
cra,6,3,3
agr,6,6,0
cfia,5,4,1
acoa,4,4,0
gac,4,3,1
nrcan,4,4,0
phac,3,3,0
ppsc,3,3,0
inac,3,3,0
osfi,3,3,0
ps,2,2,0
psc,2,2,0
lac,2,2,0
cpc,2,2,0
osgg,2,2,0
pch,2,2,0
cihr,2,2,0
nrc,2,2,0
fin,1,1,0
swc,1,1,0
ced,1,1,0
cas,1,1,0
