owner_acronym,source_year,total_entries,total_contracts,total_amendments
acoa,2009,3,3,0
acoa,2016,1,1,0
agr,2016,1,1,0
agr,2017,5,5,0
cas,2016,1,1,0
cbsa,2014,8,8,0
cbsa,2015,4,4,0
cbsa,2016,3,2,1
cbsa,2017,4,4,0
ced,2016,1,1,0
cfia,2012,2,1,1
cfia,2013,1,1,0
cfia,2016,1,1,0
cfia,2017,1,1,0
cihr,2015,1,1,0
cihr,2016,1,1,0
cpc,2016,1,1,0
cpc,2017,1,1,0
cra,2016,1,1,0
cra,2017,5,2,3
csc,2015,1,1,0
csc,2016,4,4,0
csc,2017,2,2,0
dfo,2010,5,5,0
dfo,2013,1,1,0
dfo,2014,4,4,0
dnd,2008,19,19,0
dnd,2009,7,6,1
dnd,2010,15,15,0
dnd,2011,27,27,0
dnd,2012,10,10,0
dnd,2013,10,8,2
dnd,2014,16,16,0
dnd,2015,4,4,0
dnd,2016,2,2,0
dnd,2017,23,23,0
ec,2008,19,19,0
ec,2009,18,18,0
ec,2010,15,15,0
ec,2011,13,13,0
ec,2012,2,2,0
ec,2013,2,2,0
ec,2014,1,1,0
ec,2015,1,1,0
ec,2016,3,3,0
ec,2017,2,2,0
esdc,2008,1,1,0
esdc,2010,1,1,0
esdc,2012,1,1,0
esdc,2013,2,2,0
esdc,2017,2,2,0
fcac,2013,2,2,0
fcac,2014,3,3,0
fcac,2015,2,2,0
fcac,2016,2,2,0
fcac,2017,3,3,0
feddev,2010,6,3,3
feddev,2011,2,1,1
feddev,2014,4,2,2
fin,2016,1,1,0
gac,2015,1,1,0
gac,2016,1,1,0
gac,2017,2,1,1
hc,2011,1,1,0
hc,2012,1,1,0
hc,2016,2,2,0
hc,2017,8,8,0
ic,2008,14,14,0
ic,2009,10,10,0
ic,2010,9,9,0
ic,2011,10,8,2
ic,2012,3,3,0
ic,2013,4,4,0
ic,2014,3,3,0
ic,2015,9,9,0
ic,2016,9,9,0
ic,2017,5,5,0
inac,2014,1,1,0
inac,2016,1,1,0
inac,2017,1,1,0
just,2008,3,3,0
just,2009,1,1,0
just,2010,3,3,0
just,2011,9,9,0
just,2012,3,3,0
just,2013,2,2,0
just,2014,2,2,0
just,2015,4,4,0
lac,2013,1,1,0
lac,2014,1,1,0
nrc,2015,1,1,0
nrc,2017,1,1,0
nrcan,2011,3,3,0
nrcan,2017,1,1,0
osfi,2016,1,1,0
osfi,2017,2,2,0
osgg,2016,2,2,0
pc,2014,2,2,0
pc,2015,2,2,0
pc,2016,2,2,0
pc,2017,2,2,0
pch,2015,1,1,0
pch,2016,1,1,0
phac,2011,1,1,0
phac,2012,1,1,0
phac,2017,1,1,0
ppsc,2008,2,2,0
ppsc,2010,1,1,0
ps,2011,2,2,0
psc,2012,2,2,0
pspc,2008,6,6,0
pspc,2009,3,3,0
pspc,2010,4,4,0
pspc,2011,1,0,1
pspc,2016,1,1,0
rcmp,2008,33,33,0
rcmp,2009,21,20,1
rcmp,2010,40,38,2
rcmp,2011,53,52,1
rcmp,2012,22,22,0
rcmp,2013,23,23,0
rcmp,2014,12,12,0
rcmp,2015,16,16,0
rcmp,2016,26,25,1
rcmp,2017,36,34,2
ssc,2012,34,18,16
ssc,2013,10,9,1
ssc,2014,15,13,2
ssc,2016,50,50,0
ssc,2017,69,69,0
stats,2008,3,3,0
stats,2009,4,4,0
stats,2011,1,1,0
stats,2012,2,2,0
swc,2017,1,1,0
tc,2011,7,7,0
tc,2013,5,5,0
tc,2014,4,4,0
tc,2015,1,1,0
tc,2016,2,2,0
