owner_acronym,sum_effective_value
esdc,22820170.52
ssc,10622465.66
ic,10154367.19
cra,9817843.20
dnd,9416544.92
agr,6965736.14
rcmp,6875102.89
tc,6595785.23
hc,4754563.83
phac,4525285.18
ec,4465587.89
pch,4046857.11
pspc,3993109.99
pco,2943295.03
stats,2764951.86
pptc,2621765.41
ircc,2599020.00
pc,2287673.66
dfo,2225299.13
csc,2136349.28
just,2092682.95
nrc,1477756.89
ppsc,1392435.61
cfia,1318463.49
inac,1041004.03
ceaa,812541.37
psc,591324.00
ps,504710.11
csps,492153.98
fin,469928.40
neb,430230.39
tbs,412210.58
ced,351531.85
nrcan,350264.00
fintrac,337110.86
gac,301322.01
pbc,289519.62
cnsc,268669.57
cbsa,266893.23
fcac,175078.98
atssc,133338.35
infra,98831.75
vac,55353.46
acoa,45850.80
cannor,38751.82
cgc,22094.55
feddev,21560.00
lac,12504.51
mpcc,9816.01
