owner_acronym,total_entries,total_contracts,total_amendments
dnd,483,423,60
cra,342,114,228
rcmp,340,294,46
hc,308,257,51
pspc,275,167,108
phac,263,224,39
ec,259,177,82
tc,202,179,23
pc,197,174,23
csc,166,152,14
esdc,162,162,0
dfo,157,94,63
ircc,130,109,21
pch,126,122,4
nrc,92,74,18
just,85,68,17
stats,52,51,1
ppsc,43,33,10
cfia,41,32,9
pptc,38,34,4
ceaa,37,30,7
pco,31,22,9
ced,30,19,11
inac,30,27,3
ic,28,27,1
cbsa,27,27,0
ssc,24,16,8
pbc,21,20,1
nrcan,21,20,1
ps,19,19,0
fin,17,11,6
csps,17,15,2
fintrac,16,16,0
gac,15,15,0
vac,14,8,6
psc,13,12,1
tbs,12,10,2
agr,11,8,3
cnsc,9,8,1
infra,8,6,2
cgc,6,6,0
neb,5,4,1
cannor,4,4,0
feddev,4,2,2
lac,3,1,2
fcac,3,3,0
atssc,3,2,1
swc,1,1,0
mpcc,1,1,0
