owner_acronym,total_entries,total_contracts,total_amendments
rcmp,386,382,4
ec,164,161,3
ssc,164,128,36
ic,144,141,3
dnd,121,120,1
cra,114,101,13
gac,113,108,5
pspc,68,63,5
dfo,58,54,4
stats,52,52,0
nrcan,50,49,1
just,49,48,1
esdc,46,46,0
pch,45,41,4
ircc,40,38,2
tc,34,34,0
cnsc,32,32,0
csa,25,25,0
pco,24,22,2
nrc,22,22,0
nfb,18,18,0
csc,17,16,1
ced,17,17,0
acoa,16,16,0
fintrac,14,14,0
hc,14,14,0
ps,13,13,0
lac,12,12,0
feddev,12,6,6
tbs,12,10,2
cbsa,12,12,0
pc,12,9,3
phac,11,11,0
agr,10,10,0
cfia,10,10,0
ppsc,9,9,0
fja,9,9,0
cas,7,7,0
crtc,7,7,0
swc,7,7,0
ceaa,6,5,1
elections,6,6,0
osfi,6,6,0
vac,5,4,1
inac,5,5,0
sirc,5,5,0
infra,4,4,0
cihr,4,4,0
psc,3,3,0
ocol,2,2,0
cgc,2,2,0
oag,2,2,0
neb,2,2,0
fcac,2,2,0
oic,1,1,0
nserc,1,1,0
psic,1,1,0
mgerc,1,1,0
cta,1,1,0
atssc,1,1,0
