owner_acronym,effective_year,sum_yearly_value
acoa,2008,79612.99
acoa,2009,28871.69
acoa,2010,14435.85
acoa,2011,49366.46
acoa,2012,5198.00
acoa,2013,97360.80
acoa,2016,16136.33
acoa,2017,47876.95
agr,2013,98287.40
agr,2015,24091.60
agr,2017,24470.24
atssc,2017,9011.75
cas,2016,4201.36
cas,2017,18720.05
cbsa,2014,237609.62
cbsa,2015,59544.22
cbsa,2016,44242.33
cbsa,2017,44242.33
ceaa,2008,46871.22
ceaa,2009,10650.05
ceaa,2011,23616.25
ceaa,2012,5056.25
ceaa,2013,52373.45
ceaa,2014,20823.45
ced,2008,209005.30
ced,2009,173082.21
ced,2010,114092.13
ced,2011,90242.87
ced,2012,6261.01
ced,2013,10899.64
ced,2016,11124.29
ced,2017,11124.29
cfia,2011,107560.92
cfia,2012,46519.00
cfia,2013,90346.58
cfia,2016,55847.11
cfia,2017,41592.16
cgc,2017,8038.80
cics,2017,3875.07
cihr,2017,124551.50
cnsc,2008,278873.63
cnsc,2009,894124.56
cnsc,2010,124817.01
cnsc,2011,163163.85
cnsc,2012,163420.54
cnsc,2013,87863.60
cnsc,2016,26936.10
cnsc,2017,15137.17
cra,2008,1897021.27
cra,2009,16812614.76
cra,2010,2310564.06
cra,2011,1143017.33
cra,2013,7506.65
cra,2014,119911.87
cra,2015,94892.50
cra,2016,145579.31
cra,2017,108256.81
crtc,2017,178238.71
csa,2008,46450.98
csa,2009,94146.79
csa,2010,74569.95
csa,2011,71115.45
csa,2012,58365.30
csa,2013,58582.18
csa,2014,24788.94
csa,2015,34476.10
csa,2016,100362.52
csa,2017,99202.28
csc,2015,955659.00
csc,2016,28611.00
csc,2017,55818.92
dfo,2010,274032.40
dfo,2011,3715289.81
dfo,2012,12669.06
dfo,2013,44096.88
dfo,2014,34250.00
dfo,2015,102167.00
dfo,2016,37539.25
dfo,2017,28463.14
dnd,2008,107494.00
dnd,2009,312912.58
dnd,2010,241934.00
dnd,2011,354858.66
dnd,2012,259159.75
dnd,2013,624999.74
dnd,2014,416609.14
dnd,2015,366308.77
dnd,2016,164198.75
dnd,2017,482518.83
ec,2008,723154.50
ec,2009,466370.14
ec,2010,861662.25
ec,2011,1144851.27
ec,2012,505352.66
ec,2013,3802008.72
ec,2014,423221.26
ec,2015,502274.10
ec,2016,145806.54
ec,2017,243920.01
elections,2017,212969.32
esdc,2008,328156.83
esdc,2009,693087.26
esdc,2010,2111445.73
esdc,2011,5714237.96
esdc,2012,1848710.98
esdc,2013,2664406.61
esdc,2014,2658112.10
esdc,2015,831075.44
esdc,2016,806058.37
esdc,2017,97781.61
fcac,2013,11923.75
feddev,2011,8577.00
feddev,2012,30353.00
feddev,2013,139902.19
fin,2008,13326.83
fintrac,2008,37371.25
fintrac,2009,27574.00
fintrac,2010,42967.70
fintrac,2011,36761.34
fintrac,2012,246931.30
fintrac,2013,117706.50
