owner_acronym,sum_effective_value
rcmp,25348122.38
cra,22639364.54
esdc,17753072.88
ssc,15013351.45
ircc,13343823.79
just,11747047.38
gac,9440556.49
ec,8818621.44
ic,7889965.67
tc,5878160.35
pch,5251094.27
dfo,4248507.54
dnd,3330994.22
pspc,2275748.66
pco,1829785.62
cnsc,1754336.44
stats,1644851.93
csc,1040088.92
nrcan,829958.82
ppsc,720203.79
csa,662060.48
ced,625831.72
fintrac,590896.09
nrc,568217.95
vac,546775.60
pc,472573.55
cbsa,385638.49
cfia,341865.77
acoa,338859.06
sirc,337496.04
tbs,273996.94
phac,258319.56
lac,215496.07
elections,212969.32
fja,196483.49
hc,193891.50
nfb,181020.00
feddev,178832.19
crtc,178238.71
ps,174642.26
ceaa,159390.67
agr,146849.24
cihr,124551.50
inac,84744.71
psc,67538.04
swc,67116.64
infra,40049.41
neb,31816.05
osfi,27717.99
cas,22921.41
oag,21187.50
fin,13326.83
mgerc,12032.09
fcac,11923.75
atssc,9011.75
cgc,8038.80
cics,3875.07
