source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2008,386,198,56,132,3055646.13,1391147.88,12380269.88
2009,465,240,70,155,3803474.84,1726201.71,11725139.67
2010,440,199,76,165,3311073.80,1883713.92,13507622.50
2011,244,113,31,100,1838409.54,773646.44,9394664.43
2012,298,145,30,123,2473832.34,744624.27,10491622.51
2013,250,118,35,97,1860950.65,868125.47,9284987.60
2014,224,95,34,95,1487780.66,843600.29,11682828.57
2015,158,64,25,69,979001.31,621500.02,7521350.30
2016,179,65,25,89,1082385.06,619574.78,10643375.09
2017,162,55,25,82,885283.17,620005.58,9475060.18
