source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2008,386,248,138,4294240.79,12532823.10
2009,465,308,157,5478605.60,11776210.62
2010,440,269,171,5044068.61,13658341.61
2011,244,137,107,2434703.81,9572016.60
2012,298,170,128,3091877.76,10618201.36
2013,250,147,103,2578386.97,9435676.75
2014,224,126,98,2254900.41,11759309.11
2015,158,88,70,1574524.32,7547327.31
2016,179,87,92,1625619.84,10719715.09
2017,162,77,85,1429126.87,9551222.06
