owner_acronym,total_entries,total_contracts,total_amendments
ssc,58,35,23
esdc,49,49,0
dnd,26,19,7
rcmp,23,19,4
gac,18,12,6
pspc,17,14,3
fin,15,7,8
fja,15,12,3
pch,12,12,0
pco,7,3,4
ps,7,6,1
tbs,6,3,3
cnsc,5,5,0
ic,4,4,0
vac,3,2,1
cc,3,3,0
cra,3,2,1
csc,3,2,1
ec,3,1,2
fcac,3,3,0
phac,3,3,0
stats,3,3,0
neb,2,2,0
pc,2,2,0
hc,2,2,0
elections,2,1,1
dfo,2,2,0
cbsa,2,2,0
ircc,2,2,0
nrcan,2,2,0
oag,2,2,0
nserc,1,1,0
atssc,1,1,0
osgg,1,1,0
acoa,1,1,0
ced,1,1,0
fintrac,1,1,0
tc,1,1,0
