owner_acronym,sum_effective_value
ssc,759082552.163212
pspc,757305254.92
esdc,36377600.355
rcmp,1439341.01272727
dnd,943302.503333331
ircc,888441.69
pco,815534.193333334
ps,802555.48
gac,730885.7
elections,724762.52825
neb,356435.4
fin,273541.51
pc,254250
tbs,204799.539999999
fja,181484.775
pch,174952.66
cnsc,149522.41
ec,121725.166666666
stats,115035
cra,95728.38
csc,93732
osgg,92351.816666665
ic,85889
fcac,70428.030000001
hc,57601.749999999
phac,56245.749999999
nserc,49136.353333333
cc,44999.09
nrcan,38900.25
vac,35768.4999999999
dfo,27370.71
fintrac,25304
cbsa,23952.34
acoa,21275
atssc,11323.64
