gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
CLARKE JEFFERY,2016,3,3,0
CLARKE JEFFERY,2017,2,1,1
DELL COMPUTER CORPORATION,2017,4,4,0
DELOITTE AND TOUCHE,2016,5,3,2
DELOITTE AND TOUCHE,2017,17,16,1
ERNST & YOUNG,2016,4,2,2
ERNST & YOUNG,2017,12,11,1
HYATT LAUREL A,2016,3,3,0
HYATT LAUREL A,2017,3,1,2
KPMG,2016,3,1,2
KPMG,2017,8,7,1
MARCIL LAVALLEE,2016,2,2,0
MARCIL LAVALLEE,2017,5,5,0
PRICEWATERHOUSE COOPERS,2016,8,6,2
PRICEWATERHOUSE COOPERS,2017,10,9,1
SAMSON & ASSOCIES CPA/CONSULTATION,2016,6,5,1
SAMSON & ASSOCIES CPA/CONSULTATION,2017,10,9,1
WATERWOOD COMMUNICATIONS CORP,2016,3,3,0
WATERWOOD COMMUNICATIONS CORP,2017,4,2,2
