owner_acronym,sum_effective_value
esdc,38820494.54
dnd,35820451.84
rcmp,20629223.03
ic,6996902.00
phac,4869450.80
just,2720111.51
ec,2668119.18
stats,2376658.75
tbs,1230817.53
ppsc,1107371.72
fin,1094353.53
vac,920895.95
tc,679803.29
nrcan,424350.97
pspc,399380.05
dfo,396160.00
cra,329647.67
hc,324929.77
ircc,228260.00
inac,196828.83
nrc,147804.00
cnsc,128018.48
ps,93677.00
ssc,91798.76
lac,84281.51
csps,79263.78
cfia,68695.25
agr,59765.65
pc,56687.20
psc,50186.00
infra,47203.49
gac,38612.10
pch,23024.89
ceaa,21750.00
cbsa,20507.03
csa,16167.90
vrab,12084.00
