source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2008,2353,1472,881,24735888.43,133347372.32
2009,2426,1608,818,27698062.62,132974719.48
2010,3072,2082,990,35204657.82,192852685.60
2011,2766,1853,913,32132372.69,149078120.47
2012,2403,1512,891,25095065.68,215435721.70
2013,2557,1547,1010,25617426.82,306734649.35
2014,2784,1738,1046,28150055.91,198070805.84
2015,2682,1691,991,28513460.62,222010025.57
2016,2638,1741,897,29365446.63,169407140.87
2017,3601,2414,1187,41490017.56,356503187.33
