source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2008,2353,1310,198,845,20747361.75,4903469.28,132432429.72
2009,2426,1385,258,783,22208573.65,6378921.42,132085287.03
2010,3072,1808,301,963,28443654.79,7446191.15,192167497.48
2011,2766,1581,311,874,25422733.01,7698803.56,148088956.59
2012,2403,1326,212,865,20505091.84,5249838.70,214775856.84
2013,2557,1348,235,974,20708705.27,5822105.33,305821265.57
2014,2784,1555,223,1006,23628282.01,5537816.68,197054763.06
2015,2682,1494,237,951,23659179.80,5872339.21,220991967.18
2016,2638,1537,239,862,24334571.83,5918031.04,168519984.63
2017,3601,2077,397,1127,33177088.71,9835250.83,354980865.35
