source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2015,24,13,2,9,208285.47,49256.70,863514.66
2017,29,14,6,9,250267.10,148964.95,1657227.58
