source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2016,46,20,3,23,310191.94,74389.52,2399395.04
2017,214,118,17,79,1740798.58,425845.36,6898291.31
