owner_acronym,sum_effective_value
ssc,2455031383.93662
pspc,419544272.485475
dnd,334407794.033335
esdc,163694602.885715
rcmp,24706201.8380303
cra,23410316.0315646
ircc,5777588.91499997
crtc,4240776.325
ic,2834908.11
gac,2325676.36
pc,2292985.74
cnsc,1579158.47
dfo,1481693.86666667
ps,1412218.04
tc,1050478.36166667
csps,868998.8
pco,769569.59
ec,681437.36
csc,619513.95
ced,590804.69
agr,472504.38
phac,466429.93
osfi,434354.34
tbs,433727.37
pch,371601.22
hc,369762.81
just,316989.4125
fin,238696.35
psc,234905
pbc,193933
inac,172886.55
cbsa,160670.8
cas,98046.82
nrc,55857
ppsc,55731.6
nrcan,43734.97
atssc,33718.41
cfia,29232
oag,24803.97
vac,24635.13
csa,24267.885
stats,15750
fja,10000
