source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2008,11,0,0,11,0.00,0.00,11708350.00
2009,56,0,0,56,0.00,0.00,88092823.00
2010,94,0,0,94,0.00,0.00,77319568.00
2011,168,6,0,162,99135.00,0.00,141822597.00
2012,240,18,3,219,241905.00,74210.00,146327745.00
2013,1252,620,50,582,9575428.00,1242225.00,153472520.00
2014,2834,1520,133,1181,23205463.00,3303804.00,233210145.00
2015,3254,1665,158,1431,25612554.00,3931259.00,185839839.00
2016,3599,1582,139,1878,23981461.22,3467548.87,558031801.59
2017,3682,1779,162,1741,27230599.84,4035325.80,351127508.69
