source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2008,11,0,11,0.00,11708350.00
2009,56,0,56,0.00,88092823.00
2010,94,0,94,0.00,77319568.00
2011,168,6,162,99135.00,141822597.00
2012,240,20,220,290915.00,146352945.00
2013,1252,652,600,10359005.00,153931168.00
2014,2834,1607,1227,25337632.00,234381780.00
2015,3254,1763,1491,28020034.00,187363618.00
2016,3599,1665,1934,26020669.31,559460142.37
2017,3682,1881,1801,29734965.86,352658468.47
