owner_acronym,total_entries,total_contracts,total_amendments
dnd,234,229,5
rcmp,160,148,12
pc,133,133,0
ssc,102,87,15
cra,49,36,13
dfo,47,44,3
ec,47,47,0
ic,32,32,0
gac,32,31,1
pspc,27,21,6
ircc,21,17,4
pco,19,19,0
tc,19,19,0
vac,18,16,2
hc,16,16,0
lac,16,16,0
nrc,14,14,0
esdc,14,13,1
inac,13,11,2
stats,11,11,0
pptc,10,7,3
cbsa,10,10,0
nrcan,9,9,0
phac,9,9,0
csc,8,6,2
just,8,8,0
cfia,8,8,0
infra,5,5,0
elections,5,5,0
acoa,5,5,0
agr,5,5,0
psc,5,5,0
cnsc,5,5,0
nfb,4,2,2
feddev,4,2,2
ps,3,3,0
csps,3,2,1
cpc,2,2,0
osfi,2,2,0
pch,2,2,0
cta,1,1,0
osgg,1,1,0
tbs,1,1,0
ppsc,1,1,0
neb,1,1,0
atssc,1,1,0
csa,1,1,0
fin,1,1,0
