owner_acronym,sum_effective_value
dnd,37715088.14
rcmp,12505431.75
phac,7999722.58
cra,6462384.93
hc,6285662.49
esdc,3570031.76
pc,3068981.48
ssc,2389496.44
ec,2338475.22
vac,2289420.28
ircc,2048576.09
csc,1836040.53
gac,1773513.85
cfia,1662834.51
ic,1531713.37
dfo,1467570.94
stats,1270741.11
pptc,1258077.36
psc,1046913.00
lac,949081.20
inac,565560.08
elections,499852.57
pco,481444.42
cbsa,403145.74
tc,370221.29
pspc,335334.70
agr,328562.34
nrc,310385.85
neb,289585.30
just,209944.00
nrcan,188540.47
csps,129556.70
acoa,125864.44
cnsc,91669.03
csa,77136.32
infra,68463.96
tbs,64630.35
feddev,52125.00
pch,43835.52
cta,24415.06
nfb,20100.00
cpc,14000.70
ppsc,10667.10
osfi,9632.69
ps,2605.03
