source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2008,228,157,71,2928563.00,5868591.00
2009,166,102,64,1825317.00,6830625.00
2010,146,93,53,1631253.00,6475043.00
2011,137,94,43,1756698.00,4301272.00
2012,76,43,33,768058.00,2320173.00
2013,22,18,4,325228.00,317627.00
2014,20,11,9,230110.00,780853.00
2015,67,53,14,882355.00,1571097.00
2016,47,31,16,493355.25,4070480.88
2017,61,48,13,783308.41,1892702.75
