owner_acronym,total_entries,total_contracts,total_amendments
dnd,173,156,17
nrc,99,96,3
pspc,41,38,3
phac,18,18,0
hc,14,14,0
agr,13,12,1
dfo,12,8,4
rcmp,12,12,0
cnsc,9,9,0
csa,7,7,0
ec,6,6,0
pch,5,5,0
gac,5,5,0
pco,2,0,2
cra,2,2,0
csc,1,1,0
ic,1,1,0
isc,1,1,0
nrcan,1,1,0
ps,1,1,0
cfia,1,1,0
