owner_acronym,total_entries,total_contracts,total_amendments
ic,68,60,8
pspc,61,52,9
gac,27,21,6
inac,26,18,8
nrcan,24,20,4
tbs,22,15,7
esdc,21,19,2
nrc,19,14,5
tc,17,15,2
dfo,12,9,3
fintrac,12,12,0
dnd,12,11,1
hc,11,11,0
cfia,11,10,1
phac,11,11,0
ec,11,9,2
csa,10,8,2
ps,10,10,0
ssc,10,8,2
ircc,9,7,2
rcmp,8,6,2
ced,8,7,1
oag,8,7,1
pch,8,2,6
fin,7,7,0
vac,6,2,4
infra,4,4,0
pco,4,3,1
psc,3,3,0
stats,3,3,0
cc,3,3,0
pptc,3,2,1
cnsc,2,2,0
just,2,2,0
lac,2,2,0
acoa,2,2,0
cbsa,2,2,0
ccohs,1,1,0
osfi,1,1,0
agr,1,1,0
cra,1,1,0
fcac,1,1,0
nserc,1,1,0
atssc,1,1,0
isc,1,1,0
pc,1,1,0
