owner_acronym,sum_effective_value
dnd,34248970.00
nrcan,15713447.98
esdc,13387117.22
ic,11939991.30
inac,10483511.76
pspc,6303897.34
tbs,6273267.87
ssc,3183590.74
gac,1579464.60
cfia,1545692.00
tc,1399238.83
pch,1345373.61
vac,1080221.00
nrc,976453.63
fin,828423.70
ps,700210.30
ircc,571969.84
fintrac,523386.30
pco,476295.00
acoa,460897.50
ced,417067.50
oag,339423.74
phac,332645.28
ec,319000.86
dfo,316068.00
hc,309928.18
stats,293709.60
csa,230852.56
cc,181845.50
infra,165796.99
pptc,118155.42
psc,71978.90
lac,60972.38
cra,56500.00
agr,49720.00
cbsa,31956.28
fcac,25000.00
cnsc,24939.10
rcmp,24675.00
just,24408.00
nserc,22475.70
atssc,16526.25
osfi,12500.00
