owner_acronym,sum_effective_value
dnd,41373862.69
ssc,27445058.90
pspc,24914275.59
cra,7980891.71
cfia,7700009.00
cbsa,6720826.40
tbs,5348911.80
esdc,4304282.56
gac,4078021.34
ircc,3901575.31
pch,3787859.87
rcmp,3220768.12
nrcan,1922861.85
just,1446369.49
tc,1422947.98
ps,1315499.00
pptc,1209499.06
hc,1105532.03
phac,934995.66
osfi,882422.31
pco,501225.78
cnsc,442274.75
ic,392630.21
fin,379457.34
csa,249871.26
fintrac,163885.00
elections,122869.95
inac,91273.28
ec,68000.00
dfo,52536.25
pc,23100.00
