owner_acronym,sum_effective_value
tbs,16290605.74
cra,12384696.99
pspc,8586706.08
cbsa,8424003.05
dnd,7383863.96
esdc,6671785.27
ircc,5503476.34
rcmp,5406581.03
ssc,4674714.67
ic,3416735.23
hc,3214711.58
gac,2779392.37
phac,2681247.95
stats,2459756.15
ec,2101793.20
tc,1997692.80
just,1895692.91
nrcan,1683069.99
agr,1118887.39
cfia,1091984.93
pptc,1055905.93
pch,1050491.05
fintrac,927006.62
pco,863352.00
pc,861881.20
cnsc,853081.03
psc,807316.67
inac,771063.11
csc,753606.27
lac,737514.48
nrc,659054.20
infra,652302.84
dfo,638817.62
ps,631424.57
fin,402689.50
acoa,374520.67
csa,351307.40
csps,257210.08
vac,232231.20
elections,196093.76
ced,193008.54
atssc,176193.87
cihr,143035.40
osfi,59121.60
mgerc,51529.75
feddev,40850.00
crtc,32306.70
oag,30645.60
ocol,30645.60
fcac,21334.40
cta,16435.68
