source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2008,731,379,79,273,6153729.82,1962268.49,25025106.79
2009,680,391,65,224,6318432.48,1611922.25,28323124.29
2010,567,316,65,186,4982493.71,1608471.95,23215823.22
2011,581,321,54,206,5007959.77,1342509.93,32906376.92
2012,369,198,28,143,3043037.48,693852.38,24201573.72
2013,442,222,36,184,3513164.07,887376.02,26123543.44
2014,314,144,35,135,2294688.02,868478.44,18363648.02
2015,443,240,50,153,3864700.04,1241314.59,19506186.72
2016,377,181,36,160,2845613.47,892242.75,24668182.93
2017,367,194,38,135,3035192.05,946620.35,18432343.91
