source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2008,71,26,11,34,462077.62,270108.21,1705448.25
2009,108,55,7,46,891791.02,174154.93,6643573.31
2010,101,49,12,40,816968.73,298238.36,7050255.09
2011,72,27,5,40,459372.94,124862.74,2997035.58
2012,58,15,8,35,267804.33,198601.40,2933803.46
2013,42,19,3,20,318138.76,75000.36,1362004.91
2014,76,34,8,34,512258.06,198950.20,5128935.89
2015,78,29,8,41,482990.24,196746.71,4650885797.96
2016,122,50,23,49,821397.80,571279.46,13205551.58
2017,96,40,19,37,659774.64,468787.33,11858066.08
