gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ALTIS HUMAN RESOURCES,2008,3,3,0
ALTIS HUMAN RESOURCES,2009,5,5,0
ALTIS HUMAN RESOURCES,2010,1,1,0
ALTIS HUMAN RESOURCES,2012,1,1,0
ALTIS HUMAN RESOURCES,2013,3,1,2
ALTIS HUMAN RESOURCES,2014,2,1,1
ALTIS HUMAN RESOURCES,2015,4,4,0
ALTIS HUMAN RESOURCES,2016,5,2,3
ALTIS HUMAN RESOURCES,2017,2,1,1
CANADIAN CORPS OF COMMISSIONAIRES,2008,1,1,0
CANADIAN CORPS OF COMMISSIONAIRES,2009,1,1,0
CANADIAN CORPS OF COMMISSIONAIRES,2010,1,1,0
CANADIAN CORPS OF COMMISSIONAIRES,2011,1,1,0
CANADIAN CORPS OF COMMISSIONAIRES,2012,1,1,0
CANADIAN CORPS OF COMMISSIONAIRES,2013,1,1,0
CANADIAN CORPS OF COMMISSIONAIRES,2014,1,1,0
CANADIAN CORPS OF COMMISSIONAIRES,2015,1,1,0
CANADIAN CORPS OF COMMISSIONAIRES,2016,4,3,1
CANADIAN CORPS OF COMMISSIONAIRES,2017,3,2,1
CANON,2008,13,13,0
CANON,2009,4,4,0
CANON,2010,6,6,0
CANON,2011,5,4,1
CANON,2012,8,8,0
CANON,2013,8,8,0
CANON,2014,7,5,2
CANON,2015,11,11,0
CANON,2016,10,7,3
CANON,2017,8,7,1
CBCI TELECOM CANADA,2011,2,2,0
CBCI TELECOM CANADA,2014,7,7,0
CBCI TELECOM CANADA,2016,2,2,0
CBCI TELECOM CANADA,2017,2,2,0
EXCEL HUMAN RESOURCES,2008,2,2,0
EXCEL HUMAN RESOURCES,2009,13,13,0
EXCEL HUMAN RESOURCES,2010,11,11,0
EXCEL HUMAN RESOURCES,2011,9,7,2
EXCEL HUMAN RESOURCES,2012,5,5,0
EXCEL HUMAN RESOURCES,2013,1,1,0
EXCEL HUMAN RESOURCES,2014,2,2,0
EXCEL HUMAN RESOURCES,2015,2,2,0
EXCEL HUMAN RESOURCES,2016,8,7,1
EXCEL HUMAN RESOURCES,2017,5,5,0
INSIGHT SOFTWARE CANADA,2008,2,2,0
INSIGHT SOFTWARE CANADA,2009,4,4,0
INSIGHT SOFTWARE CANADA,2010,9,9,0
INSIGHT SOFTWARE CANADA,2011,12,12,0
INSIGHT SOFTWARE CANADA,2012,1,1,0
INSIGHT SOFTWARE CANADA,2013,1,1,0
INSIGHT SOFTWARE CANADA,2016,1,1,0
IT/NET CONSULTANTS,2011,2,1,1
IT/NET CONSULTANTS,2012,3,1,2
IT/NET CONSULTANTS,2014,1,1,0
IT/NET CONSULTANTS,2015,5,2,3
IT/NET CONSULTANTS,2016,3,1,2
NORTHERN MICRO,2009,4,4,0
NORTHERN MICRO,2010,5,5,0
NORTHERN MICRO,2011,2,2,0
NORTHERN MICRO,2014,7,7,0
NORTHERN MICRO,2015,3,3,0
NORTHERN MICRO,2016,5,5,0
NORTHERN MICRO,2017,1,1,0
QMR,2009,5,5,0
QMR,2010,4,3,1
QMR,2012,3,3,0
QMR,2013,1,1,0
QMR,2016,3,3,0
QMR,2017,1,1,0
TEKNION,2009,4,4,0
TEKNION,2010,2,2,0
TEKNION,2014,2,2,0
TEKNION,2015,1,1,0
TEKNION,2016,2,2,0
TEKNION,2017,2,2,0
