vendor_normalized,effective_year,sum_yearly_value
ADGA GROUP,2017,71744.40
AVI SPL CANADA,2014,4909.38
AVI SPL CANADA,2015,4909.38
AVI SPL CANADA,2016,4909.38
AVI SPL CANADA,2017,42781.25
GENESIS INTEGRATION,2017,61932.79
NISHA TECHONOLOGIES,2017,165934.16
RICOH,2017,54491.99
SAMSON ASSOCIATES CPA CONSULTING,2017,51853.73
SAMSON ASSOCIES CPA CONSULTATIONS,2015,92986.13
SAMSON ASSOCIES CPA CONSULTATIONS,2016,92986.13
SAMSON ASSOCIES CPA CONSULTATIONS,2017,92986.13
SAMSON ASSOCIES CPA CONSULTING,2015,78678.04
SAMSON ASSOCIES CPA CONSULTING,2016,78678.04
SAMSON ASSOCIES CPA CONSULTING,2017,103512.64
SRA STAFFING SOLUTIONS,2017,107689.00
TEKSYSTEMS CANADA,2017,136406.07
