source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2016,22,7,7,8,111820.13,172891.06,505673.62
2017,82,40,16,26,709796.01,393059.37,2279989.77
