owner_acronym,sum_effective_value
phac,17796902.00
cra,17666153.80
dnd,17494086.05
pspc,14697565.99
infra,14506997.69
hc,9855562.23
inac,8665008.04
gac,8169083.50
esdc,5888021.32
nrcan,4778637.50
agr,4171545.89
ec,2474778.93
tbs,2422688.91
just,2075415.45
rcmp,2043040.46
dfo,1891214.72
lac,1751114.25
ircc,1747807.03
pch,1667695.54
ic,1455988.50
tc,844331.43
psc,620627.00
ps,587187.50
elections,412151.34
fin,322705.89
ssc,303491.85
pc,215521.20
cnsc,168295.50
cfia,75608.87
nrc,52377.00
stats,28350.00
csa,24948.00
