owner_acronym,sum_effective_value
cra,199871078.83
pspc,157916032.58
ircc,56022113.47
ssc,36916041.01
rcmp,36391291.70
gac,33865693.05
just,29556025.36
dnd,26448221.34
vac,14103600.00
cbsa,10257393.94
tbs,7958279.36
agr,6488486.96
infra,5908011.80
ic,2838236.50
tc,2762657.90
inac,2426881.97
osfi,2233981.29
esdc,1264882.94
psc,1095877.00
hc,872967.94
atssc,681029.93
phac,614617.17
dfo,501343.17
pc,426321.00
csa,321336.75
fcac,313462.00
stats,311751.75
ec,271750.00
pco,131573.25
ced,108337.50
cihr,33156.45
lac,24995.60
cnsc,23285.55
csc,18961.40
sshrc,12430.00
nserc,12430.00
fintrac,9500.00
