owner_acronym,total_entries,total_contracts,total_amendments
cra,955,407,548
pspc,321,293,28
ircc,190,104,86
just,161,97,64
rcmp,122,34,88
gac,64,45,19
dnd,49,34,15
cbsa,36,23,13
agr,27,17,10
ic,26,17,9
tbs,16,12,4
ssc,15,9,6
inac,13,7,6
dfo,13,7,6
esdc,9,9,0
psc,8,7,1
osfi,8,3,5
ec,7,7,0
infra,7,2,5
vac,7,1,6
fcac,7,5,2
hc,7,5,2
phac,7,5,2
stats,7,7,0
tc,7,3,4
csa,5,5,0
atssc,5,3,2
pc,4,2,2
ced,3,2,1
nserc,2,2,0
cihr,2,2,0
cfia,2,1,1
sshrc,2,2,0
pco,1,1,0
elections,1,1,0
cnsc,1,1,0
lac,1,1,0
csc,1,1,0
