owner_acronym,sum_effective_value
dnd,83503438.11
esdc,79712911.81
ssc,62890086.18
ircc,30410082.74
cra,27406212.23
stats,20045268.04
dfo,16838280.54
rcmp,16077458.36
tc,13232791.93
ec,10855068.55
gac,7930153.36
cfia,7609148.99
inac,7090557.74
ic,6474792.80
nrcan,4647538.50
psc,2316152.00
ced,2232625.60
csa,1819577.87
vac,1497993.03
infra,1218463.86
pc,1025811.35
phac,859441.02
acoa,626719.91
elections,550018.92
pch,545899.20
agr,472305.22
cihr,435438.62
nrc,412256.49
cbsa,386192.81
pptc,279707.25
cas,279142.69
lac,266902.89
fintrac,263848.54
cta,52705.94
chrc,44661.41
cnsc,36137.38
nfb,31202.56
pco,30493.74
csc,23658.00
tbs,22190.94
sshrc,18547.75
ijc,13825.60
oag,10018.59
pspc,-7738273.85
