owner_acronym,effective_year,sum_yearly_value
acoa,2008,57570.00
acoa,2009,58181.67
acoa,2010,59349.90
acoa,2011,91104.97
acoa,2012,62358.93
acoa,2013,63606.11
acoa,2014,32439.12
acoa,2015,65527.02
acoa,2016,100588.41
acoa,2017,35993.79
agr,2013,5273.19
agr,2014,67111.33
agr,2015,388726.63
agr,2016,5486.22
agr,2017,5707.86
cas,2015,83133.52
cas,2016,83133.52
cas,2017,112875.65
cbsa,2014,10754.19
cbsa,2015,79670.83
cbsa,2016,201787.24
cbsa,2017,93980.56
ced,2008,41611.15
ced,2009,204678.26
ced,2010,160438.48
ced,2011,205605.33
ced,2012,355216.17
ced,2013,354276.25
ced,2014,259716.72
ced,2015,227035.53
ced,2016,218675.02
ced,2017,205372.73
cfia,2011,41903.00
cfia,2013,152330.79
cfia,2014,1124558.57
cfia,2015,2630826.34
cfia,2016,2910605.64
cfia,2017,748924.65
chrc,2016,22330.71
chrc,2017,22330.71
cihr,2016,144184.81
cihr,2017,291253.81
cnsc,2008,6405.00
cnsc,2009,16304.84
cnsc,2010,9899.84
cnsc,2011,3527.70
cra,2008,297116.19
cra,2009,322867.65
cra,2010,393439.12
cra,2011,7089181.51
cra,2012,6515469.39
cra,2013,6692597.17
cra,2014,1126760.17
cra,2015,2682281.33
cra,2016,1117416.60
cra,2017,1169083.13
csa,2009,129744.02
csa,2010,394701.10
csa,2011,296779.43
csa,2012,153520.03
csa,2013,148296.93
csa,2014,228674.86
csa,2015,16896.61
csa,2016,208507.71
csa,2017,242457.20
csc,2016,23658.00
cta,2016,13805.01
cta,2017,38900.94
dfo,2010,1178873.87
dfo,2011,2469066.43
dfo,2012,1504749.91
dfo,2013,3193010.93
dfo,2014,1687980.58
dfo,2015,1347345.81
dfo,2016,21580.80
dfo,2017,5435672.22
dnd,2008,1392417.50
dnd,2009,3230111.50
dnd,2010,3272029.33
dnd,2011,10034783.33
dnd,2012,9768712.70
dnd,2013,19750808.10
dnd,2014,18688263.52
dnd,2015,17288830.37
dnd,2017,77481.76
ec,2008,1144913.54
ec,2009,2686942.82
ec,2010,2082747.24
ec,2011,2030074.13
ec,2012,1304972.19
ec,2013,609900.92
ec,2015,544457.61
ec,2016,451060.10
elections,2017,550018.92
esdc,2008,3787953.63
esdc,2009,3770993.63
esdc,2010,14735774.00
esdc,2011,11083193.83
esdc,2012,11288995.10
esdc,2013,9209922.21
esdc,2014,7333720.17
esdc,2015,8304669.90
esdc,2016,5024723.84
esdc,2017,5172965.51
fintrac,2008,24000.00
fintrac,2013,239848.54
gac,2008,417358.80
gac,2009,51519.30
gac,2010,906509.49
gac,2011,729195.51
gac,2012,732663.60
gac,2013,786072.25
gac,2014,738185.30
gac,2015,862552.49
gac,2016,1108869.27
gac,2017,1597227.36
ic,2008,342728.50
ic,2009,211726.00
ic,2010,340721.50
ic,2011,63834.00
ic,2012,795050.67
ic,2013,745899.83
ic,2014,729087.33
ic,2015,716725.33
ic,2016,726794.50
ic,2017,1802225.13
ijc,2017,13825.60
inac,2013,543519.47
inac,2014,939268.65
inac,2015,1797953.40
inac,2016,1893610.42
inac,2017,1916205.81
infra,2011,62426.01
infra,2012,240353.50
infra,2013,315777.47
infra,2014,285450.70
infra,2015,190651.52
infra,2016,83427.74
infra,2017,40376.94
ircc,2008,3315795.50
ircc,2009,3315795.50
ircc,2010,4272590.58
ircc,2011,4817511.26
ircc,2012,4724049.07
ircc,2013,1520699.64
ircc,2014,1788347.89
ircc,2015,1163157.88
ircc,2016,1566942.20
ircc,2017,3925193.23
lac,2015,52535.80
lac,2016,106122.32
lac,2017,108244.77
nfb,2017,31202.56
nrc,2010,16109.00
nrc,2011,48971.00
nrc,2012,9072.50
nrc,2013,139481.50
nrc,2014,72202.00
nrc,2015,28657.00
nrc,2016,47221.96
nrc,2017,50541.53
nrcan,2011,1043557.76
nrcan,2012,1294873.08
nrcan,2013,951284.35
nrcan,2014,689766.24
nrcan,2015,668057.06
oag,2017,10018.59
pc,2008,148257.74
pc,2009,442280.20
pc,2010,45112.58
pc,2011,45112.58
pc,2012,47765.84
pc,2013,96476.41
pc,2014,148080.13
pc,2017,52725.89
pch,2008,54267.00
pch,2011,45720.76
pch,2012,45720.76
pch,2013,130705.17
pch,2014,200095.34
pch,2015,69390.18
pco,2017,30493.74
phac,2010,7417.85
phac,2011,7417.85
phac,2013,207659.10
phac,2014,381282.84
phac,2015,173623.74
phac,2017,82039.65
pptc,2010,31584.65
pptc,2011,28259.75
pptc,2012,57085.22
pptc,2013,28825.48
pptc,2014,32838.47
pptc,2015,66976.08
pptc,2016,34137.61
psc,2009,401930.00
psc,2010,445631.00
psc,2011,-41305.33
psc,2012,722454.17
psc,2013,787442.17
pspc,2008,2248186.69
pspc,2009,1586083.59
pspc,2010,-35365140.40
pspc,2011,14392351.88
pspc,2012,19957953.15
pspc,2013,-12166282.33
pspc,2014,488976.08
pspc,2015,278117.28
pspc,2016,1262131.69
pspc,2017,-420651.46
rcmp,2008,765735.57
rcmp,2009,2339467.09
rcmp,2010,719281.57
rcmp,2011,1049575.96
rcmp,2012,1839036.48
rcmp,2013,1401914.00
rcmp,2014,1642594.59
rcmp,2015,2225533.78
rcmp,2016,2496799.22
rcmp,2017,1597520.12
ssc,2008,242113.04
ssc,2009,242113.04
ssc,2010,242113.04
ssc,2011,242113.04
ssc,2012,504797.93
ssc,2013,9224224.23
ssc,2014,22637126.95
ssc,2015,14788353.56
ssc,2016,6118397.20
ssc,2017,8648734.14
sshrc,2017,18547.75
stats,2008,433488.31
stats,2009,176073.29
stats,2010,1365201.36
stats,2011,2005256.07
stats,2012,858302.33
stats,2013,875208.95
stats,2014,2769284.77
stats,2015,1964636.27
stats,2016,6618057.82
stats,2017,2979758.89
tbs,2013,22190.94
tc,2010,760310.84
tc,2011,916177.39
tc,2012,963231.55
tc,2013,192339.79
tc,2014,2372998.95
tc,2015,2586761.47
tc,2016,2270425.47
tc,2017,3170546.45
vac,2011,64075.43
vac,2012,129432.39
vac,2013,210113.25
vac,2014,292407.70
vac,2015,301208.88
vac,2016,299378.91
vac,2017,201376.49
