owner_acronym,effective_year,sum_yearly_value
acoa,2016,16168.82
acoa,2017,16168.82
agr,2015,35393.79
agr,2016,35393.79
cbsa,2014,83356.88
cbsa,2015,83356.88
cbsa,2016,59708.70
cbsa,2017,59708.70
cnsc,2017,82549.90
csa,2009,17404.02
csa,2013,10085.91
csc,2015,4223731.69
csc,2016,3688202.19
csc,2017,4810312.38
dfo,2010,17010.00
dfo,2013,15675.83
dfo,2014,15675.83
dfo,2016,70909.90
dfo,2017,849044.90
dnd,2008,167294860.52
dnd,2009,346632182.19
dnd,2010,347656575.69
dnd,2011,574891382.48
dnd,2012,177667819.67
dnd,2013,68190392.62
dnd,2014,290848798.47
dnd,2015,799708029.46
dnd,2016,243573606.42
dnd,2017,119770497.73
ec,2012,17110.02
ec,2013,17110.02
esdc,2014,51784.60
fintrac,2012,20818.77
gac,2011,646503.34
gac,2012,450047.52
gac,2017,480864.52
ic,2012,28827.00
ic,2013,28827.00
ic,2014,60048.67
ic,2015,60048.67
ic,2016,208570.67
ic,2017,148522.00
inac,2017,123269.03
ircc,2016,19210.00
ircc,2017,42062.03
just,2012,613104.66
just,2016,168193.81
nrc,2016,17726.31
nrcan,2017,56766.09
pco,2008,136802.38
pco,2009,6367.39
pco,2010,180323.64
pco,2012,44172.18
pco,2017,13348.42
ppsc,2016,41954.11
ppsc,2017,41954.11
pspc,2014,15724.39
pspc,2015,15724.39
rcmp,2008,788910.45
rcmp,2009,93996.25
rcmp,2010,35200.83
rcmp,2011,66963.35
rcmp,2012,235566.50
rcmp,2013,1507649.08
rcmp,2014,1033962.02
rcmp,2015,7619515.93
rcmp,2016,12793564.70
rcmp,2017,17533518.57
ssc,2013,7423.99
ssc,2014,5679104.07
ssc,2015,71390.66
ssc,2016,595878.50
ssc,2017,831815.55
tbs,2013,3689000.66
tbs,2014,3559039.10
tbs,2015,2816141.73
tbs,2016,2606062.50
tc,2011,59726.39
tc,2014,15617.34
