owner_acronym,sum_effective_value
ssc,49709994.51
dnd,36235234.14
cra,35132409.59
esdc,15163728.80
rcmp,12593436.19
ec,6537427.82
pco,3838443.12
gac,2924623.97
pspc,2515339.48
ic,2162469.37
csa,2142410.95
cnsc,2122040.09
neb,1458271.09
nrc,1431058.00
hc,1394708.61
stats,1308661.18
ps,1274677.19
just,1076695.78
phac,1030180.03
tc,826677.58
fin,745293.30
cfia,731789.48
dfo,620646.34
csc,567972.20
tbs,509716.45
cihr,419934.60
pch,399161.74
nrcan,285437.16
vac,252884.11
osfi,252059.99
inac,218179.08
cgc,184213.95
cc,168414.00
ircc,156559.06
lac,154924.95
cbsa,148482.00
fintrac,133206.85
pc,127852.56
pptc,126916.32
fja,92039.29
oag,82242.27
tsb,74003.50
vrab,60233.00
agr,54376.14
csps,46923.48
psc,41902.68
feddev,40865.41
cta,39716.78
ppsc,27375.60
cas,22424.85
ceaa,19817.10
atssc,9851.25
