gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ACCESS 2 NETWORKS,2016,1,1,0
ACCESS 2 NETWORKS,2017,4,4,0
ADVANCED BUSINESS INTERIORS,2017,4,4,0
AFFINITY VIDEO PRODUCTIONS,2016,1,1,0
AFFINITY VIDEO PRODUCTIONS,2017,2,2,0
CBCI TELECOM CANADA,2017,9,9,0
CISTEL TECHNOLOGY,2017,3,3,0
NLOGIC,2017,3,3,0
NUMERIS,2016,2,2,0
NUMERIS,2017,2,0,2
SOFTCHOICE,2017,7,7,0
STONEWORKS TECHNOLOGIES,2017,4,4,0
TELUS CANADA,2017,3,3,0
