vendor_normalized,effective_year,sum_yearly_value
CANADIAN CORPS OF COMMISSIONAIRES,2008,256222.38
CANADIAN CORPS OF COMMISSIONAIRES,2009,351749.345
CANADIAN CORPS OF COMMISSIONAIRES,2010,357112.615
CANADIAN CORPS OF COMMISSIONAIRES,2011,403369.91
CANADIAN CORPS OF COMMISSIONAIRES,2012,494165.305
CANADIAN CORPS OF COMMISSIONAIRES,2013,749739.54
CANADIAN CORPS OF COMMISSIONAIRES,2014,793292.795
CANADIAN CORPS OF COMMISSIONAIRES,2015,555886.39
CANADIAN CORPS OF COMMISSIONAIRES,2016,593059.795
CANADIAN CORPS OF COMMISSIONAIRES,2017,667300.285
CETTEC DIGITAL IMAGING,2010,131250
CETTEC DIGITAL IMAGING,2011,143570
CETTEC DIGITAL IMAGING,2012,199820
CETTEC DIGITAL IMAGING,2013,187500
CETTEC DIGITAL IMAGING,2014,187500
CETTEC DIGITAL IMAGING,2015,168517.346666666
CETTEC DIGITAL IMAGING,2016,168517.346666666
CETTEC DIGITAL IMAGING,2017,574458.68333333
EXCEL HUMAN RESOURCES,2008,21590.66
EXCEL HUMAN RESOURCES,2009,39375
EXCEL HUMAN RESOURCES,2010,136395
EXCEL HUMAN RESOURCES,2011,24610.385
EXCEL HUMAN RESOURCES,2012,23263.875
EXCEL HUMAN RESOURCES,2013,60636.08
EXCEL HUMAN RESOURCES,2015,166726.42
EXCEL HUMAN RESOURCES,2016,428011.675
EXCEL HUMAN RESOURCES,2017,744466.61
IRON MOUNTAIN,2014,258750
IRON MOUNTAIN,2015,258750
IRON MOUNTAIN,2016,733125
IRON MOUNTAIN,2017,733125
JONES,2015,794388.80333333
JONES,2016,794388.80333333
JONES,2017,794388.80333333
LEXISNEXIS CANADA,2008,191820.83
LEXISNEXIS CANADA,2009,168191.88
LEXISNEXIS CANADA,2010,366205.7
LEXISNEXIS CANADA,2011,88184.07
LEXISNEXIS CANADA,2012,166452.39
LEXISNEXIS CANADA,2013,159424.92
LEXISNEXIS CANADA,2014,81156.6
LEXISNEXIS CANADA,2016,117504.19
LEXISNEXIS CANADA,2017,167042.626666667
MAKWA RESOURCING,2015,405442.845
MAKWA RESOURCING,2016,755853.88
MAKWA RESOURCING,2017,1192491.0725
MURCHISON THOMSON CLARKE,2014,509658.22166667
MURCHISON THOMSON CLARKE,2015,509658.22166667
MURCHISON THOMSON CLARKE,2016,509658.22166667
MURCHISON THOMSON CLARKE,2017,509658.22166667
PARTNERS IN CREDIT,2016,2521314.52
PARTNERS IN CREDIT,2017,2521314.52
RICOH,2009,53825.54
RICOH,2010,42457.67
RICOH,2011,21360.39
RICOH,2012,119247.66
RICOH,2013,265662.5625
RICOH,2014,284028.434166667
RICOH,2015,335362.750833334
RICOH,2016,172191.22797619
RICOH,2017,246385.083809524
