source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2008,126,77,14,35,1212632.12,350485.90,2265306.48
2009,140,79,13,48,1271472.93,321840.87,3366937.90
2010,103,57,9,37,972059.92,222913.18,2769109.17
2011,112,53,13,46,798842.27,322541.00,3718683.08
2012,115,67,12,36,1054899.94,297215.31,3116413.70
2013,343,108,16,219,1454939.87,396142.17,45844726.60
2014,144,51,4,89,815360.90,99002.74,15676324.69
2015,95,33,7,55,537610.83,170632.65,23168896.23
2016,74,41,1,32,616779.59,25990.00,4174411.97
2017,101,37,12,52,573333.26,299489.47,8271828.42
