owner_acronym,sum_effective_value
csc,37001275.06
hc,14459636.79
phac,13272048.57
ssc,6469396.84
tbs,4669425.38
ic,4577414.75
tc,3081879.00
esdc,2868636.52
fin,2848718.49
agr,2399884.59
nrcan,2269876.20
rcmp,2162277.60
just,2080379.91
cnsc,2019280.00
crtc,1620093.75
ec,1528916.58
dfo,1486073.08
atssc,1248565.46
gac,1131849.06
ircc,896600.78
pspc,854559.38
ps,852380.16
nrc,729160.00
pco,551010.62
pptc,503472.90
stats,444012.69
cbsa,435397.28
cfia,341188.25
csps,177975.01
fcac,124300.00
dnd,112285.30
cra,105842.10
fintrac,82500.00
psc,58768.00
inac,56234.27
oag,43646.24
infra,39668.65
pc,20394.29
sshrc,20114.00
